iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.056459695090295914,0.3000000000000001,0.299194847020934,1.0330057445503353
2,0.03746695071768841,0.29999836793032003,0.2971867007672635,1.0512780848808165
3,0.02550540372679624,0.29996309163646506,0.3002273373117363,1.107086780118232
4,0.018688065559684598,0.29993333528874144,0.30011366865586814,1.1857861456123038
5,0.013779387154433581,0.2998988517617436,0.299204319408923,1.2618016210717469
6,0.011905841584941311,0.299894782117606,0.30040731268352755,1.3279409729405611
7,0.00793200613351225,0.2998909868357142,0.30053992611537367,1.378209051793457
8,0.007596169005869299,0.2998620621887413,0.2994411291086483,1.4332236723341352
9,0.005898035802636484,0.299896180454642,0.30141138581036275,1.4697430248907508
10,0.0056192288044563336,0.2998046172233183,0.2983518044899119,1.5120538878613
11,0.004777650203869866,0.2998634016776218,0.30053045372738474,1.533470763697891
12,0.005806156524094649,0.2997858409945729,0.29878753433740646,1.5592567171003373
13,0.005126553474788354,0.29980710677035927,0.29952638060054937,1.5748190230892816
14,0.004451966330421844,0.2997777063768743,0.29909065075305485,1.5979819499793926
15,0.004672564479582976,0.2998392331319018,0.3001515582078242,1.607170277301664
16,0.004633177549545482,0.29982896611972265,0.2999715828360329,1.6226610875251006
17,0.0043306311075165865,0.29979067284390093,0.29921379179691204,1.6286253714915886
18,0.004555646978493351,0.29980012184484545,0.2997537179122857,1.635083550091208
19,0.0036178976925097294,0.29979360143754685,0.2996968835843516,1.6461217703744484
20,0.004505410457596,0.29982217914245424,0.3003504783555935,1.6526378373072852
21,0.0037889309072511998,0.2998902447698543,0.3018471156578574,1.6480127764642587
22,0.004295840441170153,0.29965870048997606,0.2983612768779009,1.6655348984262495
23,0.004101445036873866,0.29988869544447017,0.3019797290897035,1.6640088008207128
24,0.0036305839066962846,0.29975862527616365,0.29985791418016483,1.6573399825117885
25,0.004238115032037009,0.29974863267920976,0.300018944775978,1.666222223621716
26,0.002706820065756618,0.29981234879493346,0.3008904044709671,1.6571270178136386
27,0.004076276449594097,0.2996332276839607,0.2988348962773515,1.681082090748187
28,0.003806618383471826,0.299641843280357,0.29917590224495594,1.6863613069373034
29,0.004895717835370865,0.2995167702262539,0.29838022165387895,1.7023737827339713
30,0.003901581920099241,0.29964621860799223,0.29980107985223076,1.7043148583844765
