iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09557457858345976,0.5732809505082003,0.7231183779294164,0.7701726214371738
2,0.047634461711076305,0.41558871028412026,0.5822860803958804,0.7761942994781212
3,0.026021041433876187,0.3277404326559592,0.5547394273842927,0.7788036932958651
4,0.01632413425524993,0.2752483245184258,0.5735772840560003,0.7848253713368125
5,0.011120615062520108,0.2408167541915862,0.6102232025198416,0.7862304295463669
6,0.008254327535023778,0.21692240440541274,0.6567150975469289,0.7870333199518266
7,0.006336388349139591,0.19967040062721889,0.7051537466678615,0.790646326776395
8,0.005051238681704668,0.18650917189155947,0.7541586140722081,0.7926535527900441
9,0.00424982344606391,0.17621847475866217,0.800826021253578,0.7938578883982337
10,0.003560366795278868,0.1678875791396421,0.844948792994349,0.7934564431955038
11,0.003107033140275929,0.16125789413015262,0.8860876871752831,0.793054997992774
12,0.0025018651048271247,0.15562141546488478,0.9239939696720797,0.7932557205941388
13,0.002106310988361742,0.15094035202523204,0.9577926538672512,0.7950622240064231
14,0.0019686891988402837,0.14700034793838979,0.9878452391627417,0.7954636692091529
15,0.0017494823108809645,0.14338897731639197,1.0156186514328178,0.7962665596146126
16,0.0018598529979914243,0.1404930224088227,1.0392124811920869,0.7958651144118828
17,0.0014120343090239223,0.13784623540383598,1.060108927137462,0.7974708952228021
18,0.001478048511388137,0.13555777839006955,1.079540660234637,0.7970694500200722
19,0.001188493907277428,0.13332366397922332,1.0981726214138836,0.797671617824167
20,0.001435577686235901,0.13118760119926748,1.116171459445917,0.7970694500200722
21,0.0010582609704479235,0.12929393742666712,1.1325319092522461,0.7966680048173425
22,0.0011522066263121356,0.127330382095699,1.1494433954714078,0.7982737856282618
23,0.001109099486320322,0.12547477638633622,1.1658020814550722,0.7996788438378162
24,0.000943698471503022,0.1238880078307079,1.1800676384723956,0.799879566439181
25,0.0009433859311521289,0.12221129740805727,1.195869627526206,0.8002810116419109
26,0.000848497529607701,0.12086803973518598,1.208209042824599,0.8006824568446407
27,0.0008118772161554336,0.11942977190188725,1.2227485652756536,0.8014853472501003
28,0.0007567521733300173,0.11803943865385703,1.2363793650764388,0.8030911280610197
29,0.0008052399446645483,0.11669155732624881,1.249613603589233,0.8028904054596547
30,0.0009144784187807454,0.11537224441756035,1.2623600145904832,0.8030911280610197
