split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Undetermined,I,8,0.011312942825649989,0.031054759110039444
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.0007702166885516139,0.0022357633539937
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.17565709823359524,0.5232839367708428
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.007830135340751276,0.00012262360360669998
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.0038510585249534103,0.011553039218095607
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.002982588400129356,3.3936438839794034e-07
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.0023381426392171506,2.801340971461044e-06
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.0019414498301282858,0.0020159008778941386
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.0012045124147356658,9.721751815436204e-05
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.0003785092430733,0.0003785092430733
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,3.1814138173301326e-11,9.973691616964902e-11
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.9886870571425358,0.9999935655240372
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9653230084731981,0.9999999999712701
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9098773235928374,0.9999922484184334
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.8679234817827202,0.9999933599494856
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.8235726850778531,0.9999262397311799
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.8009142858883856,0.9999988448346512
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.7688715197138759,0.7688715197138759
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.7685454226411859,0.9999802899457001
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.6036886444109306,0.9999945825702081
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.920175774303007,0.9818123688013005
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.8141974491790867,0.9994125817875246
