split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.9197757856180542,0.981613422868164
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.8145086675141102,0.9993941605144088
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.6202942343002539,0.9977590870762587
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5764638408886663,0.9977590138289801
test,Categorical EM-MMIL,I,MAST cells,I,35,0.5696954846121448,0.981698526238495
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.5429287617426655,0.9909755105410356
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.47510021403906794,0.998181947098382
test,Categorical EM-MMIL,I,NK cells,I,81,0.3496667954164505,0.936554058492076
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.27438755767686024,0.9908807410629579
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.4473117478545896,0.9999999995795926
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.2738908623334628,0.899597987610739
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.25487648305011257,0.9618607897382015
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.2352590873902591,0.990387620239396
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.2111412456807452,0.8718189649892966
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.15543062011744516,0.647071906544043
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.06573531884452216,0.07317501385935057
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.014509799491388425,0.0003430008325362212
test,Categorical EM-MMIL,I,Undetermined,II_III,2,1.212981959005142e-12,1.2429421435355609e-12
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.4903533549328806,0.999873654668476
test,Categorical EM-MMIL,I,NK cells,IV,81,0.3954567215334368,0.9737355412258292
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.39133591941281237,0.9736138943227203
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.2681055389938885,0.9955595061771126
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.1709815329945013,0.5862349717350472
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.16856452001900088,0.6670755454699606
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.15641365305439234,0.42401164168267996
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.0802242143807329,0.1420618516308128
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.07758803810634249,0.0877104550986512
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.7278853959948464,0.9851779414359476
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.6510779616125965,0.997976943556369
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.6446690676684477,0.9985360231163473
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.5924454357935046,0.5924454357935046
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.5356304675446558,0.9776863222200779
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.4252630420842883,0.4252630420842883
test,Categorical EM-MMIL,II_III,Epithelial cells,I,10,0.2538209266204735,0.8860485608894704
test,Categorical EM-MMIL,II_III,NK cells,I,5,0.11257913494860942,0.23838652976557417
test,Categorical EM-MMIL,II_III,Epithelial cells,II_III,10,0.5590791500635394,0.9808517337318213
test,Categorical EM-MMIL,II_III,MAST cells,II_III,3,0.19113067172237952,0.4403451538181451
test,Categorical EM-MMIL,II_III,T lymphocytes,II_III,138,0.03974181449101747,0.044252158634142
test,Categorical EM-MMIL,II_III,Myeloid cells,II_III,53,0.02559200886798487,0.0937336039884803
test,Categorical EM-MMIL,II_III,B lymphocytes,II_III,40,0.0035051970589820487,0.0007370449862848004
test,Categorical EM-MMIL,II_III,NK cells,II_III,5,0.0033062955405350793,0.00857417524015382
test,Categorical EM-MMIL,II_III,Endothelial cells,II_III,1,9.336331943017691e-06,9.336331943017691e-06
test,Categorical EM-MMIL,II_III,Undetermined,II_III,1,1.1684326768777887e-10,1.1684326768777887e-10
test,Categorical EM-MMIL,II_III,NK cells,IV,5,0.8841145695108554,0.9727643667263335
test,Categorical EM-MMIL,II_III,Endothelial cells,IV,1,0.5747276215837687,0.5747276215837687
test,Categorical EM-MMIL,II_III,B lymphocytes,IV,40,0.4608643353963622,0.9778423927311287
test,Categorical EM-MMIL,II_III,Undetermined,IV,1,0.4075545640896521,0.4075545640896521
test,Categorical EM-MMIL,II_III,Myeloid cells,IV,53,0.32333002951941864,0.9944858425680471
test,Categorical EM-MMIL,II_III,T lymphocytes,IV,138,0.31558911784053484,0.9450369123211937
test,Categorical EM-MMIL,II_III,Epithelial cells,IV,10,0.18709992331598713,0.8185111523332017
test,Categorical EM-MMIL,II_III,MAST cells,IV,3,0.0809839322827741,0.18432312298520795
test,Categorical EM-MMIL,IV,Fibroblasts,I,6,0.4094372282120424,0.9902510942388455
test,Categorical EM-MMIL,IV,B lymphocytes,I,195,0.23289771762303413,0.8229669147859405
test,Categorical EM-MMIL,IV,T lymphocytes,I,344,0.2011470355586801,0.7971959941057197
test,Categorical EM-MMIL,IV,MAST cells,I,1,0.196560131585145,0.196560131585145
test,Categorical EM-MMIL,IV,NK cells,I,34,0.13522531055368206,0.45473333922052506
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.08959203976159667,0.28802234826680145
test,Categorical EM-MMIL,IV,Myeloid cells,I,160,0.027998901787417284,0.011630865661977276
test,Categorical EM-MMIL,IV,Undetermined,I,8,0.01616589703692143,0.04406704028642
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.000645294950483972,0.001828989884165
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.1780204091341356,0.5248614802374305
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.026852862658482562,0.08051980705210529
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.007847008150165766,0.0003102927683829298
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.0032155199126700784,0.003728767426037308
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.003188389607705668,2.7773682689110673e-06
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.0025805967648001526,1.0740126546304516e-05
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.0015554157772370446,0.00020937156378577997
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.0005086250692774,0.0005086250692774
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,2.669949849215936e-10,8.677567963607709e-10
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.9838341026960836,0.9999794719715949
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9641540900624168,0.9999999996916795
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9072195706306976,0.9999775431740646
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.861559169533648,0.9999824925185755
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.8213342959153804,0.9998008029605162
