iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09557263790699543,0.57328754755491,0.7231263862147359,0.7703733440385387
2,0.047630712242842425,0.41560898575755734,0.5823007000720343,0.7761942994781212
3,0.02591201846459825,0.3276619164605479,0.554579105387655,0.7796065837013247
4,0.01713866096624047,0.27490067813405716,0.5758345900376574,0.7840224809313528
5,0.011156161953119349,0.2403685708991038,0.6124100222127383,0.7858289843436371
6,0.008135950754392373,0.21638768922511128,0.6582667249236636,0.7886391007627459
7,0.006196208833377668,0.19912864225878668,0.7073428033022932,0.79084704937776
8,0.004864221063318112,0.18627968604500725,0.7556015315661345,0.7918506623845845
9,0.0039360157556544775,0.17637480012377577,0.8007502886329417,0.7926535527900441
10,0.0032524934797897235,0.1685581945394762,0.8417653056014498,0.7932557205941388
11,0.002753230248270614,0.1621630318732856,0.8800852753771998,0.7934564431955038
12,0.002396396576044339,0.15689109375444463,0.9153701730315912,0.793054997992774
13,0.0019425634565963597,0.15269175758314613,0.9451511966134739,0.7950622240064231
14,0.0018402039631964053,0.14897090276067057,0.9726385617610906,0.7958651144118828
15,0.0020368138018849596,0.14565180861550708,0.9975927265804697,0.7960658370132477
16,0.0016195739149624804,0.14303431360800767,1.0181773944142436,0.7966680048173425
17,0.0012239588101414342,0.1409038757095124,1.0344908333649196,0.7960658370132477
18,0.0011279171933160712,0.1387833984977645,1.0516800353715354,0.7962665596146126
19,0.0014273268608814352,0.13669074406011197,1.0684825875732,0.7966680048173425
20,0.0009865739217582252,0.13516989056873,1.080329662704983,0.7970694500200722
21,0.0010346350932762575,0.13344599085514464,1.0951320303109404,0.7968687274187074
22,0.0008211616818370861,0.13230204042714655,1.1041665647932095,0.7984745082296266
23,0.0008002451647408934,0.13083073707007523,1.1172962049740482,0.7988759534323565
24,0.0007348856963174434,0.1296025489956994,1.1282466925222212,0.799879566439181
25,0.0007368765759399369,0.12846419653406102,1.1384584579996828,0.8010839020473706
26,0.0006600780662933186,0.12738164150224124,1.1481575405300364,0.8014853472501003
27,0.0007239535773185063,0.12638281468524382,1.1572296403116422,0.8010839020473706
28,0.000632135812981118,0.12541187314674881,1.1656359721188667,0.8016860698514653
29,0.0013323766845618247,0.12440532153172348,1.1750389732991517,0.8018867924528302
30,0.0006653038749647068,0.12390030965360754,1.1772520425159485,0.8018867924528302
