iter,delta,mean_entropy,mean_mc_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09588494558840677,0.5671998188162212,0.7834468566452347,0.6993801025722262,0.8173424327579285
2,0.04215176750531026,0.43673048486439214,0.5324104282231182,0.5736364234907079,0.8048976314733038
3,0.019403840026660655,0.3779599962405041,0.40264410376105136,0.547308626423204,0.8016860698514653
4,0.011081174725050876,0.34914997812536985,0.3433356410475156,0.5477720427590883,0.8020875150541951
5,0.007832468251874154,0.33277276313337756,0.31643832673686373,0.5510957965313896,0.8012846246487354
6,0.006523872846556301,0.3248228020466025,0.30269777354451954,0.5572568453100506,0.8006824568446407
7,0.005192085423394387,0.3197946653450569,0.29441670370889866,0.558947475874479,0.8018867924528302
8,0.005128868171986945,0.3168808660966345,0.29148409307445117,0.561219027257953,0.8004817342432758
9,0.005255910116744321,0.31476635312998424,0.2875709176571625,0.5644887668879907,0.8020875150541951
10,0.0050644869809280775,0.31232064334841064,0.283642703825389,0.563388249089637,0.8018867924528302
11,0.004967902461360448,0.3129076987447308,0.28627462026149286,0.563488680902725,0.8020875150541951
12,0.005138317498948864,0.3122446869681152,0.2820787425257276,0.5654492603061047,0.8012846246487354
13,0.005223341298639644,0.3099759613208498,0.2809427622964826,0.566116944181641,0.8034925732637495
14,0.005354945682821256,0.3111098832948696,0.27965122849640456,0.5670342243243806,0.8028904054596547
15,0.004999092589678513,0.31088591261005216,0.2827786994425168,0.5673624830816328,0.8020875150541951
16,0.005054945095228528,0.30942874313478214,0.2816676045307423,0.5680178143382681,0.8020875150541951
17,0.004947387466434351,0.3099171448140687,0.2808607160943045,0.5684176110086033,0.8026896828582898
18,0.004978218491479886,0.311147871017191,0.28095159847593576,0.5706251160923329,0.8006824568446407
19,0.0051466903636468025,0.3097338722887031,0.28148673228513826,0.5701079642866737,0.80228823765556
20,0.005047255292506962,0.3090623651319261,0.27973225208189106,0.5723136013217784,0.8016860698514653
21,0.0051067313070543244,0.30943009571104574,0.28133150481519126,0.5688281662281578,0.8034925732637495
22,0.004873692691541128,0.3091274205358614,0.27725432140653855,0.5681622904126181,0.8038940184664793
23,0.005026792945399614,0.3108157279552776,0.2807591858691879,0.5665303877215132,0.8038940184664793
24,0.004929897503313577,0.31105978844935195,0.28077777937101417,0.5682958744150544,0.8032918506623846
25,0.005174535414198645,0.3098356132670289,0.2818552042436794,0.5689665412426831,0.8020875150541951
26,0.005233412446216466,0.30885700440991,0.2798196076252131,0.5704325182883845,0.8028904054596547
27,0.005047406412693406,0.3066328893762939,0.27857370143810234,0.5700349998916179,0.8026896828582898
28,0.00499355930626762,0.308750577952899,0.2792527771076627,0.5703752106288547,0.80228823765556
29,0.005097722499005062,0.3090304437106584,0.2786892553014293,0.5699146162688232,0.8032918506623846
30,0.005095535984984695,0.3091352103492387,0.2814708256108754,0.5704739512127669,0.8034925732637495
