split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.7746000671911408,0.8040854488901599
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.6266286085837238,0.8632063839456942
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.6012011851536363,0.7756902390506706
test,Categorical EM-MMIL,I,MAST cells,I,35,0.5895477303622036,0.7683526444863593
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5726921984160336,0.8203880855682407
test,Categorical EM-MMIL,I,NK cells,I,81,0.5276659750416975,0.6829890303467647
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.32268943913474113,0.5825435213672144
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.29433090250461746,0.5150440335273743
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.10692712863452311,0.25582012974331014
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.4097265681976056,0.5867063403129578
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.1778579264248132,0.4241294391193819
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.16123210300262053,0.3353195467599689
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.1421404386834587,0.31401959080597175
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.13424772848951388,0.26524775730107614
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.1334134213962613,0.25588501246590006
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.1308523731556477,0.2790045435449028
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.11550323186235713,0.2983008192045822
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.0680358102075394,0.09156784628020051
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.7596594499692154,0.9273912325987779
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.5160784578626382,0.8064068891580776
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.2959425292977768,0.5805888945039778
test,Categorical EM-MMIL,I,NK cells,IV,81,0.2944760985334892,0.5549243443970153
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.28516736290050765,0.5337288442524522
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.2832955829840065,0.5517245258946376
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.2762045411482824,0.504036036493063
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.2425190182606283,0.49725340958473113
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.15736412260131977,0.1633174682276777
