iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.05168108832146502,0.3000000000000001,0.299194847020934,1.078652354714548
2,0.040700368060691286,0.29998548355594756,0.2966373022639008,1.0991871194593688
3,0.031115503582117513,0.29987537184947216,0.3010609074547694,1.1562224031467505
4,0.024600985976170418,0.29962164000793556,0.29806763285024157,1.2684417955788863
5,0.01809031683534552,0.29918919457717874,0.29912854030501085,1.3921760968390244
6,0.015168640782490883,0.2987884606252949,0.29987685895614286,1.545342333330779
7,0.01142868957575681,0.2982577177712425,0.297660320166714,1.6948094721105134
8,0.010436917409495913,0.2979033409362299,0.29754665151084586,1.8572532032610074
9,0.009387266402955681,0.2978665262700714,0.2986833380695273,2.0121422602565606
10,0.008739874707397979,0.297658244259967,0.29892014776925263,2.1862315194624933
11,0.008441039013729109,0.2973713876806047,0.29822866344605475,2.3339801217668645
12,0.008244506557448922,0.29673493395547595,0.2969498910675381,2.5349283930153717
13,0.007726804435865955,0.296083919494391,0.29606895898456,2.7104105706927353
14,0.0079356485034662,0.295565226923418,0.2958037321208677,2.9270411040646795
15,0.007088397436610096,0.29529029544176955,0.29574689779293356,3.154126419238741
16,0.005811625225447403,0.29518943615715976,0.2959079283887468,3.343060376483289
17,0.005435018225943504,0.2949973787905942,0.2957942597328787,3.5798568232744934
18,0.004837130217993292,0.2943286773836871,0.2946102112342522,3.771582878312494
19,0.004504628674888545,0.2932450282206537,0.29289570900824097,3.957200838185406
20,0.0035138819394926026,0.29282607560459323,0.2924599791607464,4.135389696810656
21,0.0032801253037850957,0.29265973486038394,0.2924031448328124,4.281162748594246
22,0.0027631861376064865,0.29272713681379625,0.29272520602443874,4.421442249241477
23,0.0027008109275766636,0.29221357371486256,0.29204319408922996,4.543612721090332
24,0.0025675031320600786,0.29232845101370947,0.29239367244482334,4.676501784210026
25,0.002341212666816512,0.29269483706966976,0.29310410154399924,4.770201105334259
26,0.0023727044848567895,0.2923942217247536,0.2927820403523729,4.892651039184315
27,0.002660102646958982,0.2920082852779251,0.2923557828928673,5.059078120477562
28,0.002239401772153074,0.29126652816845644,0.2913990717059771,5.200691774394682
29,0.0017108675490481785,0.2911664056819837,0.2913706545420101,5.297239932165147
30,0.00156075923146409,0.2909792565686168,0.2912948754380979,5.420035626456057
