iter,delta,mean_q_advanced,train_logloss_inherited
1,0.05629895818681989,0.3,1.0307088934873283
2,0.03730146780031703,0.3000000000000001,1.045998284387322
3,0.026442936995573395,0.2999632931249377,1.114520481501684
4,0.01964994858247224,0.2999326632808625,1.2074878008822372
5,0.01517535334911702,0.2998931041251185,1.3109697421469573
6,0.012113670306002123,0.29986751664409544,1.4180543853974101
7,0.009938357310078604,0.29985809663249813,1.5255468002362327
8,0.008346416605493588,0.2998534348051531,1.6321958496952782
9,0.0071489022660726235,0.29984486629094875,1.737497876824873
10,0.006218007974962824,0.299834519830983,1.8412092493338184
11,0.005483788273955846,0.2998237392038819,1.943168587988064
12,0.0048943378182747296,0.2998116914436784,2.043690189216788
13,0.004405611893172398,0.2997966171458811,2.1428801131953534
14,0.003996874042160165,0.29978452257194954,2.240365560663688
15,0.0036520818782182544,0.2997755926801596,2.3364844681035732
16,0.0033592294551658426,0.2997675401007581,2.4308002573848073
17,0.003102068931849351,0.2997577130292575,2.522780112738971
18,0.002872891972119214,0.29974809683119286,2.6133190120760936
19,0.0026677118536229225,0.29973944424990134,2.7019233807907024
20,0.0024817337235175994,0.29973110438789907,2.789139771457945
21,0.0023109043486434404,0.2997236871482693,2.8749507535614534
22,0.00215500958454958,0.2997178521664305,2.9587059266586255
23,0.002011438807634614,0.29971463607328647,3.040303648701672
24,0.0018783180102552289,0.2997129297319532,3.1194920878731267
25,0.0017545150145354218,0.2997121321795005,3.196198994103374
26,0.001638141723768233,0.29971129143175274,3.2706169161740934
27,0.0015295194320496374,0.2997112030874345,3.3423096461768336
28,0.0014280123552552798,0.2997121045799005,3.41092254834305
29,0.0013340647958419085,0.29971411714318175,3.4763806650056783
30,0.0012471545003165494,0.29971653953796135,3.5388185054177566
