split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
train,Deterministic EM-MMIL,Advanced,Endothelial cells,3,1.0000000000000002e-08,0.0,0.0
train,Deterministic EM-MMIL,Advanced,MAST cells,26,1.0000000000000002e-08,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Oligodendrocytes,15,1.0000000000000002e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,Myeloid cells,303,0.08490913381792396,0.07260726072607261,0.019801980198019802
train,Deterministic EM-MMIL,Early,Epithelial cells,151,0.07080549534561827,0.06622516556291391,0.039735099337748346
train,Deterministic EM-MMIL,Early,B lymphocytes,349,0.00256948767785431,0.0028653295128939827,0.0
train,Deterministic EM-MMIL,Early,T lymphocytes,912,0.0006264624891171048,0.0,0.0
train,Deterministic EM-MMIL,Early,NK cells,84,0.00042594177319235345,0.0,0.0
train,Deterministic EM-MMIL,Early,Fibroblasts,29,1.0000000000000004e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,MAST cells,22,1.0000000000000004e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,Undetermined,8,1e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,Endothelial cells,12,9.999999999999999e-09,0.0,0.0
train,MCEM-MMIL,Advanced,Epithelial cells,1048,0.6216251247461086,0.625,0.5916030534351145
train,MCEM-MMIL,Advanced,Myeloid cells,714,0.39568033704803435,0.42016806722689076,0.13725490196078433
train,MCEM-MMIL,Advanced,Undetermined,17,0.03609222957687364,0.058823529411764705,0.0
train,MCEM-MMIL,Advanced,B lymphocytes,397,0.011628787597972475,0.012594458438287154,0.0025188916876574307
train,MCEM-MMIL,Advanced,NK cells,170,0.0005461984767831568,0.0,0.0
train,MCEM-MMIL,Advanced,T lymphocytes,1069,0.0004116258462560036,0.0,0.0
train,MCEM-MMIL,Advanced,Fibroblasts,60,1.1774802432703337e-05,0.0,0.0
train,MCEM-MMIL,Advanced,Endothelial cells,3,1.0000000000000002e-08,0.0,0.0
train,MCEM-MMIL,Advanced,MAST cells,26,1.0000000000000002e-08,0.0,0.0
train,MCEM-MMIL,Advanced,Oligodendrocytes,15,1.0000000000000002e-08,0.0,0.0
train,MCEM-MMIL,Early,Myeloid cells,303,0.08509293932115343,0.07260726072607261,0.019801980198019802
train,MCEM-MMIL,Early,Epithelial cells,151,0.07237187479077188,0.06622516556291391,0.039735099337748346
train,MCEM-MMIL,Early,B lymphocytes,349,0.0022355441992701797,0.0028653295128939827,0.0
train,MCEM-MMIL,Early,T lymphocytes,912,0.00047497577654265905,0.0,0.0
train,MCEM-MMIL,Early,NK cells,84,0.0004594683883484974,0.0,0.0
train,MCEM-MMIL,Early,Fibroblasts,29,1.0000000000000004e-08,0.0,0.0
train,MCEM-MMIL,Early,MAST cells,22,1.0000000000000004e-08,0.0,0.0
train,MCEM-MMIL,Early,Undetermined,8,1e-08,0.0,0.0
train,MCEM-MMIL,Early,Endothelial cells,12,9.999999999999999e-09,0.0,0.0
train,Naive inherited-label classifier,Advanced,Epithelial cells,1048,0.8953321230369331,0.9971374045801527,0.6708015267175572
train,Naive inherited-label classifier,Advanced,Myeloid cells,714,0.7877701896446186,0.9215686274509803,0.15126050420168066
train,Naive inherited-label classifier,Advanced,Undetermined,17,0.7095887781199393,1.0,0.0
train,Naive inherited-label classifier,Advanced,Oligodendrocytes,15,0.6987217156184509,1.0,0.0
train,Naive inherited-label classifier,Advanced,NK cells,170,0.6798062985495027,1.0,0.0
train,Naive inherited-label classifier,Advanced,Fibroblasts,60,0.6673630481887085,1.0,0.0
train,Naive inherited-label classifier,Advanced,Endothelial cells,3,0.6586380653572181,1.0,0.0
train,Naive inherited-label classifier,Advanced,MAST cells,26,0.649144941840505,1.0,0.0
train,Naive inherited-label classifier,Advanced,T lymphocytes,1069,0.5563181508504091,0.7820392890551918,0.0
train,Naive inherited-label classifier,Advanced,B lymphocytes,397,0.5326790614045896,0.5113350125944585,0.0
train,Naive inherited-label classifier,Early,Epithelial cells,151,0.761971685340648,0.9403973509933775,0.24503311258278146
train,Naive inherited-label classifier,Early,NK cells,84,0.6690323165326233,1.0,0.0
train,Naive inherited-label classifier,Early,MAST cells,22,0.6635180504608058,1.0,0.0
train,Naive inherited-label classifier,Early,Undetermined,8,0.6559534459421106,1.0,0.0
train,Naive inherited-label classifier,Early,Fibroblasts,29,0.6398817601593549,1.0,0.0
train,Naive inherited-label classifier,Early,Endothelial cells,12,0.6266904971724797,0.9166666666666666,0.0
train,Naive inherited-label classifier,Early,T lymphocytes,912,0.5202116135638987,0.5285087719298246,0.0
train,Naive inherited-label classifier,Early,Myeloid cells,303,0.49994693441169713,0.4884488448844885,0.036303630363036306
train,Naive inherited-label classifier,Early,B lymphocytes,349,0.4926744184922275,0.23209169054441262,0.0
