split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
train,Deterministic EM-MMIL,Advanced,B lymphocytes,397,0.0012768085270960404,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Endothelial cells,3,1.0000000000000002e-08,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Fibroblasts,60,1e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,Epithelial cells,151,0.10892544172138352,0.09933774834437085,0.07947019867549669
train,Deterministic EM-MMIL,Early,Myeloid cells,303,0.07544523816976294,0.056105610561056105,0.013201320132013201
train,Deterministic EM-MMIL,Early,MAST cells,22,0.006562300836505402,0.0,0.0
train,Deterministic EM-MMIL,Early,T lymphocytes,912,0.0023627811295518523,0.0,0.0
train,Deterministic EM-MMIL,Early,NK cells,84,0.0012271590657868968,0.0,0.0
train,Deterministic EM-MMIL,Early,B lymphocytes,349,0.000874842110324992,0.0,0.0
train,Deterministic EM-MMIL,Early,Undetermined,8,2.2945875797261926e-05,0.0,0.0
train,Deterministic EM-MMIL,Early,Endothelial cells,12,3.1378260575461216e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,Fibroblasts,29,1.0000000000000004e-08,0.0,0.0
train,MCEM-MMIL,Advanced,Oligodendrocytes,15,0.999919545121567,1.0,1.0
train,MCEM-MMIL,Advanced,Epithelial cells,1048,0.633107520137918,0.6383587786259542,0.5458015267175572
train,MCEM-MMIL,Advanced,Myeloid cells,714,0.3797887563924102,0.4005602240896359,0.10084033613445378
train,MCEM-MMIL,Advanced,Undetermined,17,0.015047156632397592,0.0,0.0
train,MCEM-MMIL,Advanced,T lymphocytes,1069,0.003792836123686307,0.0,0.0
train,MCEM-MMIL,Advanced,NK cells,170,0.0025250349650550834,0.0,0.0
train,MCEM-MMIL,Advanced,MAST cells,26,0.0016422494074310073,0.0,0.0
train,MCEM-MMIL,Advanced,B lymphocytes,397,0.0012087915824595488,0.0,0.0
train,MCEM-MMIL,Advanced,Endothelial cells,3,1.0000000000000002e-08,0.0,0.0
train,MCEM-MMIL,Advanced,Fibroblasts,60,1e-08,0.0,0.0
train,MCEM-MMIL,Early,Epithelial cells,151,0.10906205567677801,0.09933774834437085,0.0728476821192053
train,MCEM-MMIL,Early,Myeloid cells,303,0.07473788097973194,0.056105610561056105,0.013201320132013201
train,MCEM-MMIL,Early,MAST cells,22,0.009050987697081635,0.0,0.0
train,MCEM-MMIL,Early,T lymphocytes,912,0.002130376876978934,0.0,0.0
train,MCEM-MMIL,Early,NK cells,84,0.0010906649540810918,0.0,0.0
train,MCEM-MMIL,Early,B lymphocytes,349,0.0008565671209372285,0.0,0.0
train,MCEM-MMIL,Early,Undetermined,8,2.5827976779549458e-05,0.0,0.0
train,MCEM-MMIL,Early,Endothelial cells,12,2.451796575837654e-08,0.0,0.0
train,MCEM-MMIL,Early,Fibroblasts,29,1.0000000000000004e-08,0.0,0.0
train,Naive inherited-label classifier,Advanced,Oligodendrocytes,15,0.9935418865781455,1.0,1.0
train,Naive inherited-label classifier,Advanced,Epithelial cells,1048,0.8953514290721155,0.950381679389313,0.7270992366412213
train,Naive inherited-label classifier,Advanced,Myeloid cells,714,0.7682051420641788,0.9327731092436975,0.04061624649859944
train,Naive inherited-label classifier,Advanced,Endothelial cells,3,0.7486249141438502,1.0,0.0
train,Naive inherited-label classifier,Advanced,MAST cells,26,0.6999364880061187,1.0,0.0
train,Naive inherited-label classifier,Advanced,Undetermined,17,0.6801601827767056,1.0,0.0
train,Naive inherited-label classifier,Advanced,NK cells,170,0.6771702392872704,1.0,0.0
train,Naive inherited-label classifier,Advanced,Fibroblasts,60,0.6500951939065388,0.8833333333333333,0.016666666666666666
train,Naive inherited-label classifier,Advanced,T lymphocytes,1069,0.5596310079414156,0.8166510757717493,0.0
train,Naive inherited-label classifier,Advanced,B lymphocytes,397,0.5132710950153259,0.5667506297229219,0.0
train,Naive inherited-label classifier,Early,Epithelial cells,151,0.7408647209592835,0.8211920529801324,0.26490066225165565
train,Naive inherited-label classifier,Early,MAST cells,22,0.7354013604533187,1.0,0.0
train,Naive inherited-label classifier,Early,Undetermined,8,0.6748476396677663,1.0,0.0
train,Naive inherited-label classifier,Early,NK cells,84,0.6672460502811288,1.0,0.0
train,Naive inherited-label classifier,Early,Endothelial cells,12,0.6624027298178256,1.0,0.0
train,Naive inherited-label classifier,Early,Fibroblasts,29,0.5837928605460729,0.8620689655172413,0.0
train,Naive inherited-label classifier,Early,Myeloid cells,303,0.5577158603370299,0.5544554455445545,0.006600660066006601
train,Naive inherited-label classifier,Early,T lymphocytes,912,0.5211424404119225,0.5372807017543859,0.0
train,Naive inherited-label classifier,Early,B lymphocytes,349,0.4884743720479068,0.38968481375358166,0.0
