iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.04621574618657248,0.3000000000000001,0.299194847020934,1.1050686516425774
2,0.04126346264445741,0.3000000000000001,0.2956427015250545,1.1222233470846668
3,0.03594071909686933,0.29993635482826597,0.29946954627261535,1.1634744131239831
4,0.02976354440078035,0.29906479655772533,0.3008809320829781,1.2427090284975097
5,0.0234489025767404,0.29722706535898785,0.2981623567301317,1.3546597583058622
6,0.018459566397250122,0.2951394298276436,0.2959837074926589,1.4871129258238747
7,0.013017644008019108,0.2934496451401421,0.2950933030216918,1.6046454361924694
8,0.009380688248247726,0.2920093789763732,0.2950648858577247,1.6983688173444798
9,0.007095369049920151,0.28964479917907426,0.2914085440939661,1.7972871197732425
10,0.0053750590415566485,0.2878452099123047,0.28940987022828457,1.87452798451913
11,0.003617099488464611,0.28650854887082566,0.2881216254617789,1.9233998418237295
12,0.003248628992965355,0.285474791441152,0.28690915979918535,1.9868503566523315
13,0.0020687262400563363,0.2847881329990164,0.28609453443213034,2.011787438192491
14,0.0020625006212173936,0.2837510434998854,0.28454106280193237,2.046456313923203
15,0.0018024844336256669,0.28285697636311424,0.28350857251113004,2.062839910293277
16,0.0012997278952986118,0.2824160515596458,0.2828549777398882,2.0628515005338572
17,0.001638809559108161,0.2821933412557683,0.28256133371222886,2.070053331956951
18,0.0006729280072120606,0.2823743063814129,0.2830728426636355,2.0655185966396488
19,0.0011094486141915306,0.28124744684721953,0.2812636165577342,2.0755591682361803
20,0.0016446064618422071,0.28043723972558,0.28027848820687695,2.0789867070093426
21,0.0007971213071161363,0.2801487942458963,0.27969120015155824,2.0925683873999463
22,0.0005004734361797518,0.280397583875893,0.2803447949228,2.084597282545212
23,0.0007029178638175425,0.2802192335250449,0.2799374822392725,2.089633922184593
24,0.0005648078149816634,0.2800723424107104,0.2796533105996022,2.0890019355270857
25,0.0006950790045203136,0.2806701167908037,0.2807142180543715,2.085054142089205
26,0.0008998152643311439,0.28023321667939166,0.2800037889551956,2.0750439204266695
27,0.0007402211002606092,0.28034119150987,0.28025007104290994,2.085254767979863
28,0.0007788451191218245,0.27984741416605957,0.27938808373590984,2.0870856228025945
29,0.0009772076168725688,0.28044750407764446,0.28043004641470115,2.080982047066532
30,0.0010201169066203723,0.2806374113217567,0.28092261059012974,2.0774517382279334
