split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
train,Deterministic EM-MMIL,Advanced,Endothelial cells,3,0.006694815297720733,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Fibroblasts,60,0.0018114856609837459,0.0,0.0
train,Deterministic EM-MMIL,Early,Epithelial cells,151,0.20767231155399546,0.2185430463576159,0.10596026490066225
train,Deterministic EM-MMIL,Early,Myeloid cells,303,0.08429197725057617,0.009900990099009901,0.0
train,Deterministic EM-MMIL,Early,MAST cells,22,0.015947053538566888,0.0,0.0
train,Deterministic EM-MMIL,Early,Undetermined,8,0.013082312775197287,0.0,0.0
train,Deterministic EM-MMIL,Early,T lymphocytes,912,0.011988990527139178,0.0,0.0
train,Deterministic EM-MMIL,Early,B lymphocytes,349,0.010803691944977647,0.0,0.0
train,Deterministic EM-MMIL,Early,NK cells,84,0.009099614486938586,0.0,0.0
train,Deterministic EM-MMIL,Early,Endothelial cells,12,0.0060375071036733174,0.0,0.0
train,Deterministic EM-MMIL,Early,Fibroblasts,29,0.0020588560509461028,0.0,0.0
train,MCEM-MMIL,Advanced,Oligodendrocytes,15,0.9762659855417898,1.0,0.9333333333333333
train,MCEM-MMIL,Advanced,Epithelial cells,1048,0.6805021071242526,0.7070610687022901,0.5143129770992366
train,MCEM-MMIL,Advanced,Myeloid cells,714,0.22740422135639496,0.06442577030812324,0.0
train,MCEM-MMIL,Advanced,Undetermined,17,0.03250579542760908,0.0,0.0
train,MCEM-MMIL,Advanced,T lymphocytes,1069,0.014876833208106992,0.0,0.0
train,MCEM-MMIL,Advanced,NK cells,170,0.012907322614112588,0.0,0.0
train,MCEM-MMIL,Advanced,B lymphocytes,397,0.012647833109664174,0.0,0.0
train,MCEM-MMIL,Advanced,MAST cells,26,0.008033518268437677,0.0,0.0
train,MCEM-MMIL,Advanced,Endothelial cells,3,0.007708160013656267,0.0,0.0
train,MCEM-MMIL,Advanced,Fibroblasts,60,0.0021156685771237934,0.0,0.0
train,MCEM-MMIL,Early,Epithelial cells,151,0.21399013235115064,0.2185430463576159,0.10596026490066225
train,MCEM-MMIL,Early,Myeloid cells,303,0.08012469622337509,0.006600660066006601,0.0
train,MCEM-MMIL,Early,MAST cells,22,0.017678886370427662,0.0,0.0
train,MCEM-MMIL,Early,Undetermined,8,0.012941779266764125,0.0,0.0
train,MCEM-MMIL,Early,T lymphocytes,912,0.011894444980908466,0.0,0.0
train,MCEM-MMIL,Early,B lymphocytes,349,0.01046437772932401,0.0,0.0
train,MCEM-MMIL,Early,NK cells,84,0.009935098140248145,0.0,0.0
train,MCEM-MMIL,Early,Endothelial cells,12,0.0066166077857247,0.0,0.0
train,MCEM-MMIL,Early,Fibroblasts,29,0.0022545211019562627,0.0,0.0
train,Naive inherited-label classifier,Advanced,Oligodendrocytes,15,0.9924815021129051,1.0,1.0
train,Naive inherited-label classifier,Advanced,Epithelial cells,1048,0.8928697282818353,0.9513358778625954,0.7137404580152672
train,Naive inherited-label classifier,Advanced,Myeloid cells,714,0.7673237491535713,0.9327731092436975,0.036414565826330535
train,Naive inherited-label classifier,Advanced,Endothelial cells,3,0.7469270759928032,1.0,0.0
train,Naive inherited-label classifier,Advanced,MAST cells,26,0.6978321079126559,1.0,0.0
train,Naive inherited-label classifier,Advanced,Undetermined,17,0.6789474939142368,1.0,0.0
