iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.056930205223105636,0.3000000000000001,0.299194847020934,1.0326788470901953
2,0.03827656485027133,0.2999957097115863,0.2970540873354173,1.05390750616362
3,0.02663517595709654,0.2999566335067827,0.2997063559723406,1.1189767917562707
4,0.02019486166955079,0.29991877045282067,0.29982949701619777,1.2150644937261998
5,0.01547204246407694,0.2998753588841154,0.29929904328881307,1.318880140634505
6,0.012984627659078072,0.2998793591637678,0.30064412238325283,1.4244186149610742
7,0.009576988149333394,0.2998800914317395,0.3009567111868902,1.5215263666976664
8,0.009483174884527438,0.2998303179222139,0.2992990432888131,1.6438702341880767
9,0.0076960752074107085,0.2998614647131526,0.3005967604433078,1.7500209199629206
10,0.006841162644555594,0.2998007747534344,0.2993937671687032,1.8545042480255984
11,0.006224739641929758,0.29981037504641145,0.2999431656720659,1.962537420099503
12,0.005965471354390095,0.2998333560813257,0.3004073126835275,2.0732639872803675
13,0.004797285080171591,0.29980801360955994,0.3002273373117363,2.1639747792098225
14,0.005200142785997275,0.29968019233066373,0.2991095955290329,2.278345080876232
15,0.004715606145283277,0.2999413710183203,0.30202709102964864,2.361240001417732
16,0.004179089695473824,0.29978248903532523,0.30008525149190113,2.423277973301874
17,0.00398441542090971,0.29972062922054615,0.2996400492564175,2.5076611852884216
18,0.004059159601258936,0.29979977886977516,0.3003504783555935,2.6181595225036873
19,0.0034078901476457847,0.2997634110053047,0.3000947238798901,2.7180292574219256
20,0.004399424350589291,0.2995991652807257,0.2990811783650658,2.8016348446324035
21,0.0032551131482182923,0.2999420668839499,0.3014208581983518,2.8851958178482526
22,0.003644436199928383,0.29975718605929186,0.3000757791039121,2.9860610029759487
23,0.003135083939739306,0.29983129915793416,0.30052098133939564,3.051335140543728
24,0.0035236569237481192,0.2997787097570876,0.30018944775978024,3.119991248508634
25,0.0029965534420413947,0.2999580199922361,0.3012598276025386,3.1794285249903558
26,0.002769816742723031,0.2998119816706839,0.30028417163967036,3.203932342547306
27,0.0030655136342022417,0.29954777971179647,0.29910012314104384,3.2730425867658672
28,0.0030350413971496773,0.29956799939264656,0.29923273657289,3.4050685161722596
29,0.0032259211242286995,0.29918950138155853,0.2980107985223075,3.5171299308269375
30,0.0030653824836184614,0.2992957922547896,0.29841811120583495,3.6453448000264204
