iter,delta,mean_q_advanced,train_logloss_inherited
1,0.04519990221052931,0.3000000000000001,1.1037069297667312
2,0.041158439072109254,0.3,1.112613538605338
3,0.03578671450171876,0.2999329756210539,1.15985611496701
4,0.029841008982958397,0.29903267617292023,1.2417513382288843
5,0.02376986926514391,0.29722752515837375,1.354145248576695
6,0.017988669070419662,0.29526417332663474,1.4794644297042965
7,0.013200260473408401,0.2932794654923067,1.599442492321528
8,0.00957269296509884,0.29129573399833714,1.7047318962542586
9,0.006865457867816453,0.2893158554555031,1.792191153244975
10,0.004956887883629003,0.2875821600055619,1.8619858654153052
11,0.00360798099912625,0.28611009026300893,1.9173254861999638
12,0.002692065521836017,0.28490081673763923,1.9611309713915113
13,0.0020056379627257964,0.28392051382735317,1.9944300369037145
14,0.001480072527935939,0.2831634976965706,2.017582756167934
15,0.0010943795744812307,0.2825824383872365,2.033032022533485
16,0.0008197196952014152,0.2821389547591993,2.043271897884175
17,0.0006186520258054817,0.2817970943474057,2.050130989893442
18,0.00046839229212835144,0.2815297032367741,2.054742668887762
19,0.0003573790157469928,0.2813209235422295,2.0578386835089466
20,0.00027469509785424563,0.2811586028569609,2.059894811093315
21,0.0002131605276414646,0.2810317799320829,2.0612493977754207
22,0.00016704589186886392,0.28093191207463997,2.0621316791399353
23,0.000132293562978642,0.2808525946789956,2.0626846368209297
24,0.00010647327830866172,0.2807888561095757,2.0630207645104797
25,8.675351139254882e-05,0.28073741256526485,2.0631986287831503
