iter,delta,mean_q_advanced,train_logloss_inherited
1,0.03655371791375741,0.3000000000000001,0.9956117862561064
2,0.02266636554172127,0.3000000000000001,0.9963875795661779
3,0.017354767205240026,0.3,1.0137166636627106
4,0.014568885148916482,0.3000000000000001,1.035837852910718
5,0.011995104446211814,0.3,1.0566034591037905
6,0.010629080081178802,0.3,1.0782006444997845
7,0.009919460605333488,0.3,1.1001166114947265
8,0.009289201656371458,0.3000000000000001,1.1221475046249854
9,0.008962900449615669,0.3,1.1439830664018475
10,0.008993464691273479,0.3,1.1646162039590517
11,0.009315264325639113,0.3000000000000001,1.1871554521515695
12,0.009093858764463147,0.3000000000000001,1.2081752768331473
13,0.009454211974421776,0.3000000000000001,1.2300021975622693
14,0.010119346767174546,0.2999032800222298,1.2526003127062035
15,0.00842586724880739,0.29351662401444295,1.2740856138457137
16,0.006270127413272705,0.287947853409225,1.303495992163403
17,0.0052100575035829945,0.28522173574283705,1.3273230477183084
18,0.00518682656866323,0.28416855098525423,1.3442385703561464
19,0.005549891642310819,0.2838804352047271,1.3589353947673084
20,0.005352788993655316,0.28401988383048793,1.3742379102431466
21,0.005574491278271269,0.28437069860689806,1.3892843986341807
22,0.006434061837268089,0.28473089970130855,1.4035827943186778
23,0.005203559862220877,0.28521309793926686,1.4163751511575504
24,0.005180806895418738,0.28564773259224024,1.4280870074978405
25,0.0058910381682294975,0.28602350713399566,1.4419077423075475
26,0.007446491019515425,0.2862216342424597,1.4587860193011912
27,0.007821136634816232,0.2859974744840978,1.4758055598469113
28,0.0068493481284028915,0.2840581114241831,1.495713766664314
29,0.005514580239109619,0.2817704498201831,1.5211887335746581
30,0.004825468803085465,0.2799681141278181,1.5501602287757
