iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.07648294779911877,0.6640199851442409,0.8698653542211263,0.6499397832195906
2,0.04206333645199053,0.5592031290040158,0.7976906308153305,0.653552790044159
3,0.02448582270980923,0.4934824559891859,0.7936863475683071,0.6545564030509835
4,0.015597788094471684,0.45016017097644,0.8145232581203576,0.6577679646728222
5,0.010595421088963339,0.42010983141940644,0.8432411520287265,0.6601766358892012
6,0.007477785603775142,0.39853077401412884,0.8726740235069419,0.6597751906864713
7,0.00540398919930343,0.382706430503299,0.8997564281626296,0.6617824167001204
8,0.003970840971447216,0.3709124649417237,0.9234088503853237,0.662786029706945
9,0.0029674036548205437,0.36197879426464746,0.9435777638503378,0.6615816940987556
10,0.00225415705579159,0.3550936492069168,0.9606757364054498,0.6611802488960257
11,0.0017365930639747815,0.34969912350674065,0.9752078340045538,0.660578081091931
12,0.0013598799833011955,0.3453999422703291,0.9876771711042465,0.6599759132878362
13,0.0010809458589310004,0.341922571618222,0.99847288645488,0.6595744680851063
14,0.000871773508532638,0.339073311926872,1.007902586903317,0.6597751906864713
15,0.0007119906108718062,0.33671344931937447,1.0161880478214254,0.6597751906864713
16,0.0005892431576003302,0.3347391467885297,1.02351201918879,0.6599759132878362
17,0.0004937631108450919,0.3330713731736558,1.0300205709652575,0.6601766358892012
18,0.0004183418122317044,0.3316530974606533,1.0358181167954015,0.6601766358892012
19,0.0003562857409816639,0.3304433065182978,1.040965303152494,0.660377358490566
20,0.0003064996595927752,0.32940457939425116,1.0455465350745818,0.6601766358892012
21,0.0002647703887457021,0.3285086156537347,1.0496260750582342,0.6601766358892012
22,0.000229852147140874,0.32773264748463715,1.0532569204098967,0.660377358490566
23,0.00020053452766623508,0.32706070844682783,1.056474508614547,0.660377358490566
24,0.00017548997738881252,0.3264738608595348,1.059340204064759,0.660377358490566
25,0.00015437424073911637,0.3259598684380019,1.0618945821585246,0.6607788036932959
26,0.00013560652849932227,0.3255111772507832,1.0641521393856452,0.6607788036932959
27,0.00011996940776444671,0.32511705278543707,1.0661613427817742,0.660377358490566
28,0.00010566831152022568,0.3247720837635891,1.067929433931466,0.660377358490566
29,9.429943896335237e-05,0.3244653213845095,1.069516205887196,0.660377358490566
