split,model,n_patients,logloss_mean_prob,logloss_median_prob,logloss_q90_prob,logloss_q99_prob
test,Deterministic EM-MMIL,11,1.2364447162223773,1.8164884262676504,0.7636206114096539,0.23930583561228475
test,MCEM-MMIL,11,1.235773298713578,1.7743027686410997,0.7854740089142092,0.23917751827631914
test,Naive inherited-label classifier,11,0.47183564179907544,0.43195541638108365,0.6343698722005342,0.8484659254240495
train,Deterministic EM-MMIL,33,1.081884459771119,1.7259254917908127,0.7052468110760404,0.2580040170868607
train,MCEM-MMIL,33,1.076561683957226,1.720853830665572,0.6937563840109224,0.2776444504914533
train,Naive inherited-label classifier,33,0.40501006710213794,0.36472484794203547,0.543779102951832,0.7706604349439363
