iter,delta,mean_q_advanced,train_logloss_inherited
1,0.04195831226429477,0.3000000000000001,1.0303387591948254
2,0.031649168420458465,0.3000000000000001,1.0339550251238963
3,0.026138111102062066,0.3,1.0645162464351476
4,0.022234048728315737,0.3000000000000001,1.10596925995273
5,0.018920384105002117,0.3,1.1515043100435651
6,0.016565212873842442,0.3000000000000001,1.200906769739428
7,0.015169750717770509,0.3,1.2515241679249876
8,0.014197677410626408,0.3,1.2974597491740447
9,0.012417522050506643,0.3000000000000001,1.3410130905155322
10,0.012024627631012856,0.3000000000000001,1.3850047034068125
11,0.010797507776388398,0.3000000000000001,1.4225597738325897
12,0.009971247609094399,0.2992071885307062,1.45986881337015
13,0.008177512145781454,0.2961207561743883,1.4970431496688417
14,0.0073419766433128865,0.2936636497399305,1.5340509666343682
15,0.006726765599333158,0.2919838659678751,1.5686536980905879
16,0.006178945428784421,0.2904904698164753,1.5960371731844216
17,0.005885122731148391,0.2891313467846877,1.629046429701555
18,0.005433276839659278,0.28791186986081224,1.6668744709437584
19,0.004988458696054359,0.28719293531807083,1.7013023560212792
20,0.004048213904537021,0.2863952668088644,1.7306807468109993
21,0.003948595917290378,0.2856708951777106,1.7583660460840325
22,0.003072758366182671,0.28478007732749794,1.7844323671250617
23,0.0032093184823631243,0.28413348783208314,1.8072471405340924
24,0.002294197371050508,0.2836001873436694,1.8232921653087788
25,0.0021866900511039945,0.28321535739115583,1.8391244307649164
26,0.0021398484976404026,0.28288034953743546,1.8572700077714566
27,0.002090428526206431,0.2825721244967423,1.8674724459571814
28,0.001855308296852946,0.28251790506768787,1.8768918431695736
29,0.001975034978618352,0.28252841869711504,1.8819921104337645
30,0.0019268166155823206,0.28255751546580243,1.8904267092315452
