iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.08429306908950145,0.6175063885825645,0.7802965448715177,0.746688077077479
2,0.03945356404105854,0.510526732589779,0.6832267019346602,0.734845443596949
3,0.019600261159574233,0.4584803060188919,0.6645801841778837,0.7284223203532718
4,0.011289154587775206,0.42938256278600007,0.6660204398383311,0.7260136491368928
5,0.006951339553534863,0.41234840880293827,0.6728277482050452,0.7252107587314331
6,0.004878539444769016,0.4018821358520999,0.6799799809612367,0.7240064231232437
7,0.003530577625190238,0.3952561573540551,0.6864640491374618,0.7248093135287034
8,0.0029454330296418245,0.39076023620386313,0.6913606742432822,0.725612203934163
9,0.002684312964882114,0.38779964716053483,0.6946891731294063,0.7238057005218788
10,0.0023309058247837416,0.3849921157486774,0.6975771817056378,0.7230028101164191
11,0.0020774798868487946,0.3830664240215711,0.6995507402326203,0.7242071457246085
12,0.0019536402048292577,0.38185531908316067,0.7013006223688626,0.7228020875150541
13,0.0021376660212113876,0.3811188797694212,0.7030189984553656,0.7221999197109594
14,0.0022384520196232814,0.37991813210875847,0.7036879568417872,0.723404255319149
15,0.0021291903767294202,0.37907825187037336,0.7055952918007306,0.7238057005218788
16,0.001874235824566707,0.37833131520721713,0.7063889012157574,0.723203532717784
17,0.001722955405658668,0.37764280453404375,0.7068789023304737,0.7224006423123244
18,0.0018987464973278783,0.37719720402422796,0.7081593436220565,0.7230028101164191
19,0.001966574417379186,0.37687368944151706,0.7091335788915355,0.7217984745082296
20,0.0018910229348350917,0.3766013939513407,0.7089223762523437,0.7215977519068647
21,0.001981456098562148,0.37640094401114965,0.7090295592225816,0.7221999197109594
22,0.0019350407357560436,0.37632319156762484,0.709111224934173,0.7219991971095946
23,0.0016734098982667844,0.37563691519690956,0.7087576389399332,0.7213970293054998
24,0.0020686895588508188,0.3760348223163521,0.7099012428662318,0.7230028101164191
25,0.001934373367177882,0.3761365442220663,0.7094139083224357,0.7219991971095946
26,0.0018171818184137406,0.3759838279682457,0.7092813191847599,0.7213970293054998
27,0.0018104065828561818,0.37573374872877446,0.7095888029810983,0.7224006423123244
28,0.0020391445499387977,0.3760250328753514,0.7098153003730191,0.7228020875150541
29,0.0018997923716384242,0.37550597870672126,0.7096900642698005,0.7224006423123244
30,0.0017221985605660847,0.37555828173617645,0.7098975414313371,0.7219991971095946
