iter,delta,mean_entropy,mean_mc_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.07935968494448344,0.6360392446965755,0.7834468566452347,0.812961268130877,0.7219991971095946
2,0.03776413286319995,0.5347398666073098,0.6014994774716135,0.7242831623078259,0.7111601766358892
3,0.01972294821478855,0.4844178592119414,0.5031987383435517,0.7107537594571675,0.7039341629867523
4,0.012560227282176619,0.453381777163568,0.45143517561645,0.716106787680272,0.7019269369731032
5,0.008698850096908297,0.4342156167771955,0.41984026181450257,0.7264388584002619,0.7019269369731032
6,0.007363823424926302,0.42030490928982245,0.40084060800370985,0.7382525916176509,0.7037334403853874
7,0.005945273362819321,0.4116060990867898,0.38905138672252965,0.749071583855294,0.7059413890004015
8,0.005225727513219555,0.40516368210488946,0.3823092028376777,0.7531469442697345,0.70915295062224
9,0.005162136867689416,0.4008161912802308,0.3744509677368695,0.7615999453864232,0.7087515054195103
10,0.004859522778940626,0.39842983484272976,0.37121647780917477,0.7666580033069097,0.7079486150140506
11,0.004969487487848284,0.3952205256064153,0.37097869576759773,0.7682121567908183,0.7061421116017663
12,0.004753604198876748,0.3936159764638333,0.36640041643089744,0.7702691625128975,0.7075471698113207
13,0.004928595087064853,0.392503030771725,0.36255750098585676,0.7744683501994825,0.706945002007226
14,0.005007232423332972,0.39049534710761147,0.3632886219527666,0.776998422430616,0.706945002007226
15,0.004946857483213214,0.38874770176407164,0.3599326381376008,0.7778120864905768,0.7103572862304296
16,0.004555437131275754,0.3886982504085524,0.3578310262436153,0.7810119062323914,0.7095543958249699
17,0.004693552376919376,0.387910849334119,0.3603127980973325,0.7838779386693245,0.7073464472099559
18,0.004714610117444741,0.3870842951647673,0.36124294284318803,0.7847803698326067,0.7079486150140506
19,0.004395428596199115,0.3856658293649872,0.3596014837429773,0.7860406020783481,0.7075471698113207
20,0.00473101931916514,0.3855311634004025,0.3558101957452179,0.7857071027514663,0.7079486150140506
21,0.0047959474717829235,0.3867896359676774,0.35770503612398785,0.7841153618415825,0.7073464472099559
22,0.00450118941779314,0.38591210849888496,0.3553740731363738,0.785856071785172,0.7065435568044962
23,0.004380873401439479,0.38675825515641676,0.3591587343769261,0.7865298965857462,0.7067442794058612
24,0.0045026391719311725,0.3866297056298572,0.3588802442191221,0.7860300166422576,0.7099558410276997
25,0.004581477681337373,0.38745464187638884,0.3597721891952934,0.7847451713383214,0.7097551184263348
26,0.0044124448024314275,0.3872700585006761,0.3566341582556004,0.7843565130444642,0.7079486150140506
27,0.004530658270620008,0.38693741746091337,0.35891729000800665,0.7873061211228024,0.7079486150140506
28,0.004585927028520197,0.3868991700317661,0.3585809464181508,0.7844219448512734,0.7081493376154155
29,0.0046711021826862835,0.3870989057384457,0.35859701363321256,0.7845102579305822,0.7071457246085909
30,0.004670900849197898,0.38606461578799295,0.357163537879477,0.7869743327313105,0.7061421116017663
