split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.4856650530247412,0.8537682390194893
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.4519297106849211,0.5569295216090876
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.4074737912106524,0.6153714705266338
test,Categorical EM-MMIL,I,NK cells,I,81,0.3813551742239464,0.5210363443543281
test,Categorical EM-MMIL,I,Undetermined,I,2,0.35519888447801434,0.3708608538042721
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.25820894329127847,0.3348028907954262
test,Categorical EM-MMIL,I,MAST cells,I,35,0.21682606047255742,0.29946978341856506
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.18832426153097645,0.2313572890270595
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.14528822442933692,0.24242411355944196
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.26759687877343125,0.4374105865149112
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.19892695590883672,0.25799977325535295
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.1278272799648764,0.3911249065363461
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.11085623477770146,0.3569825159604107
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.107115462380096,0.274587937432168
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.0770195599806158,0.2784672564681696
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.06835661812321624,0.1895941215379146
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.04152222460461995,0.04361022925722287
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.039983979595234205,0.11726185147800228
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.7268844956057864,0.9390299825231092
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.6723177047497411,0.7993778729704082
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.6127487825601868,0.6887370828319455
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.6032788909173656,0.6210288648962263
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.5155066488087316,0.6799825790003741
test,Categorical EM-MMIL,I,NK cells,IV,81,0.5115293633959574,0.6780899103908808
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.5080863097198446,0.656491807848067
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.4741941779352902,0.6449366904040678
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.4459783288520424,0.9245187596736344
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.5134876176957567,0.8556559235001654
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.4398333647932683,0.5490341161047977
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.4328696454875412,0.693204374992478
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.37800191694079394,0.5599382524217208
test,Categorical EM-MMIL,II_III,NK cells,I,5,0.36970662895239487,0.44739155993839125
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.2873877402931765,0.2873877402931765
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.2624578852193917,0.2624578852193917
test,Categorical EM-MMIL,II_III,Epithelial cells,I,10,0.19592382459271498,0.22447372707409036
test,Categorical EM-MMIL,II_III,Endothelial cells,II_III,1,0.2572634594817,0.2572634594817
test,Categorical EM-MMIL,II_III,Epithelial cells,II_III,10,0.2440741075501228,0.44461638550383215
test,Categorical EM-MMIL,II_III,NK cells,II_III,5,0.15571226454225595,0.3457208943624168
test,Categorical EM-MMIL,II_III,MAST cells,II_III,3,0.05095795824748597,0.06965428509582614
test,Categorical EM-MMIL,II_III,Myeloid cells,II_III,53,0.047366925973800156,0.07310504633253077
test,Categorical EM-MMIL,II_III,Undetermined,II_III,1,0.0329446510968392,0.0329446510968392
test,Categorical EM-MMIL,II_III,T lymphocytes,II_III,138,0.03011496083070316,0.043461145076346054
test,Categorical EM-MMIL,II_III,B lymphocytes,II_III,40,0.017900045500252475,0.022001894315623764
test,Categorical EM-MMIL,II_III,Undetermined,IV,1,0.6796676086099843,0.6796676086099843
test,Categorical EM-MMIL,II_III,MAST cells,IV,3,0.5710401248117201,0.7283632503924741
test,Categorical EM-MMIL,II_III,Epithelial cells,IV,10,0.5600020678571621,0.7693580526926438
test,Categorical EM-MMIL,II_III,B lymphocytes,IV,40,0.5422665897064792,0.7059372271148912
test,Categorical EM-MMIL,II_III,T lymphocytes,IV,138,0.5370153936817554,0.7092888100076461
test,Categorical EM-MMIL,II_III,Endothelial cells,IV,1,0.4802786552989082,0.4802786552989082
test,Categorical EM-MMIL,II_III,NK cells,IV,5,0.4745811065053491,0.6212545505880963
test,Categorical EM-MMIL,II_III,Myeloid cells,IV,53,0.43914545633044316,0.9189406984412821
test,Categorical EM-MMIL,IV,B lymphocytes,I,195,0.4339896526531878,0.5463007937214363
test,Categorical EM-MMIL,IV,T lymphocytes,I,344,0.41921879695417136,0.6249603629227249
