iter,delta,mean_q_advanced,train_logloss_inherited
1,0.03800090606187566,0.3000000000000001,1.060414060823065
2,0.03187680534894228,0.3000000000000001,1.062137770619907
3,0.02826486486636063,0.3000000000000001,1.0857254114397112
4,0.025126103973877087,0.3000000000000001,1.1234713390825501
5,0.02293378559611662,0.3000000000000001,1.1744039126624408
6,0.019729028902951078,0.3000000000000001,1.2312562107025677
7,0.01637007171286842,0.29812824995639203,1.2886528847005325
8,0.01387390434827449,0.2961535113961607,1.3511604707531422
9,0.011213607425418406,0.2931398729310356,1.4075373386463157
10,0.008008912216748262,0.2861065125379964,1.457092603111236
11,0.005594244383003715,0.28276292079246657,1.507034835606127
12,0.005168186313655297,0.2809330987663084,1.5422550182091403
13,0.004579908516632958,0.28026651563943245,1.5724731452298468
14,0.004508467874298944,0.28026934974922363,1.601518882222373
15,0.004427154397738702,0.2805416351113234,1.6273110560101816
16,0.004242456558682204,0.28109034899900726,1.653878510448445
17,0.004345141474275698,0.2817729037438012,1.6784670796872614
18,0.0037374159543369385,0.2819274023725629,1.6972375879600137
19,0.0032263381108337836,0.2820610787002075,1.715072341681441
20,0.0027357891142371356,0.2820471425298901,1.727211251063459
21,0.002782766785382749,0.2820059438887513,1.7371181982426847
22,0.002781617319415867,0.2819162826043599,1.7430286552399428
23,0.0023484855006331417,0.28181977713367196,1.7524644415285437
24,0.0018818208924951721,0.28164901260161646,1.757582104787161
25,0.002848436986483935,0.28143769634434257,1.7605036342155063
26,0.0017706926713045867,0.2813655539716952,1.7630841572359366
27,0.001688635764673531,0.2812447019965816,1.7645345637830656
28,0.0018746995549729323,0.28087633170511317,1.7632951469158138
29,0.002076125685853408,0.2807830553835159,1.7690335146207077
30,0.001935342917099645,0.2807057426805765,1.7681318064892106
