split,model,n_patients,logloss_mean_prob,logloss_median_prob,logloss_q90_prob,logloss_q99_prob
test,Deterministic EM-MMIL,11,1.5875557474092319,5.189136395641608,1.4368028959606365,0.33476646772278246
test,MCEM-MMIL,11,1.5926258051924145,5.33732682557248,1.3810609712265693,0.34067890974226667
test,Naive inherited-label classifier,11,0.4479369888586501,0.430184902672928,0.6212637522973213,1.0424516101389147
train,Deterministic EM-MMIL,33,1.02587012920336,3.751020074078556,0.8363351053695326,0.17575296726769232
train,MCEM-MMIL,33,1.0321892053915782,3.8226713759200903,0.8738045162660002,0.17833850236790702
train,Naive inherited-label classifier,33,0.45586060927257804,0.4238045407678164,0.6634783526950837,1.1123201066944668
