iter,delta,mean_q_advanced,train_logloss_inherited
1,0.05130203656946049,0.3,1.0768968095256028
2,0.040124164278140514,0.29999448539649004,1.0909002403499897
3,0.030830220017347688,0.2999028242050043,1.155811279390539
4,0.02367081163658813,0.29969870082763517,1.256139429285954
5,0.018374525911006964,0.29937510084098456,1.3821955068925293
6,0.01465408957534188,0.2989655841979116,1.5268833952932401
7,0.012173030675555951,0.29862122280158165,1.6824415906986603
8,0.01051522348532311,0.2983178673890874,1.8430489134049564
9,0.009525753854375466,0.2980241729175268,2.0077339868615924
10,0.008964326903674881,0.2976945196081609,2.1774731059998
11,0.008499111269429404,0.2973183535670466,2.34736238720691
12,0.007873866010581003,0.2967947075535976,2.5198672717698445
13,0.007173604308164412,0.29619383958974843,2.691230460711581
14,0.006515434182938621,0.2956057024672522,2.8637827708368104
15,0.00603731683661315,0.29511540405395004,3.04523867037365
16,0.00569439946178393,0.29475274749326713,3.241440013867621
17,0.005219022271225668,0.2944784483262621,3.449126019914862
18,0.004664878793617278,0.29424048171230277,3.6521539271139773
19,0.004084549791144264,0.29400527691886313,3.8342030308784136
20,0.003579669124988337,0.2937717048309362,3.9903840703791733
21,0.0031827816351846887,0.2935408310645835,4.127699350492947
22,0.0028761478685580067,0.29332255932597034,4.249860538796007
23,0.0026334032259172037,0.29311478716319717,4.360319870763145
24,0.0024375436312164427,0.2929212793972033,4.460919672527321
25,0.0022798994207637105,0.2927521666032371,4.553104778146393
26,0.0021390640146810454,0.29259454432059395,4.638531779266728
27,0.002009996028801662,0.2924515914781766,4.716496812633921
28,0.0018910903552740057,0.29231676671356505,4.787441298318158
29,0.0017866112087902113,0.29219432630819425,4.851768555413688
30,0.0016899148646156604,0.2920875622860697,4.909988030683997
