split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.11981378220159082,0.2137508838571533
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.06711223384756451,0.11172153784374682
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,0.08807617084534819,0.17784260623056625
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.08498966233743872,0.11954787478797085
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.0712121379978682,0.215421708878524
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.05803091607821847,0.0838440210478256
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.04928957702159074,0.10899651540846983
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.044707086223820816,0.0909332787480911
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.03981634778545162,0.07135114589300631
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.03286153153433292,0.07072388247309105
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.0197902863088452,0.0197902863088452
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.8616756281545672,0.9509216283802588
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.8221553017201906,0.9218044947488365
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.7671189351032615,0.7671189351032615
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.7362148280871526,0.8510358534925055
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.718496512327362,0.9294721968618108
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.6861476865304974,0.9074371320852173
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.6624096238694326,0.889304875171871
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.6184798243674746,0.8320906697919934
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.5670705219609242,0.6453435195165601
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.665867687866641,0.7039029277962146
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.5658460663873363,0.7534855792318108
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.5432011725835718,0.7378206224857242
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.5430032777453566,0.7411130667958371
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.4099386886745065,0.5913580832290078
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.3871448134701665,0.617013795877702
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.3342194793734497,0.5015854239463806
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.31180693771514323,0.5384027996897279
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.1697039227258705,0.42709213739267937
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.37398611775017376,0.5774382733762907
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,0.3027321002233749,0.4210222435968333
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.2707370661172328,0.5350904504589025
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.2558224447223962,0.5144814414997148
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.24809485347624377,0.41643481303557195
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.232633817753215,0.4651116758886157
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.18362913660347657,0.422916199158053
test,Categorical MCEM-MMIL,I,B lymphocytes,II_III,43,0.13566504369875862,0.2877907349962887
test,Categorical MCEM-MMIL,I,Undetermined,II_III,2,0.0357278100765698,0.04307859113151188
test,Categorical MCEM-MMIL,I,Epithelial cells,IV,109,0.5275639770507544,0.7039870716445193
test,Categorical MCEM-MMIL,I,Endothelial cells,IV,29,0.4400982088086129,0.7370948835651897
test,Categorical MCEM-MMIL,I,MAST cells,IV,35,0.3802213687766184,0.7036728871952365
test,Categorical MCEM-MMIL,I,NK cells,IV,81,0.31932424520826064,0.5512415334952334
test,Categorical MCEM-MMIL,I,B lymphocytes,IV,43,0.2984888899139051,0.4893881919088753
test,Categorical MCEM-MMIL,I,Undetermined,IV,2,0.2984045020567891,0.3437905230413048
test,Categorical MCEM-MMIL,I,Fibroblasts,IV,31,0.29179440287637654,0.5022153183487755
test,Categorical MCEM-MMIL,I,T lymphocytes,IV,248,0.27336758565116664,0.5009434574600649
test,Categorical MCEM-MMIL,I,Myeloid cells,IV,168,0.2009763826940319,0.3908700830823341
test,Categorical MCEM-MMIL,II_III,Undetermined,I,1,0.7236624414001587,0.7236624414001587
test,Categorical MCEM-MMIL,II_III,Myeloid cells,I,53,0.6056331306129781,0.7980055451186028
test,Categorical MCEM-MMIL,II_III,T lymphocytes,I,138,0.5991169491545604,0.7933925399718491
test,Categorical MCEM-MMIL,II_III,B lymphocytes,I,40,0.5630358551970659,0.7599633224031821
test,Categorical MCEM-MMIL,II_III,MAST cells,I,3,0.4775044447294085,0.7494273014265975
test,Categorical MCEM-MMIL,II_III,Endothelial cells,I,1,0.447217050360617,0.447217050360617
test,Categorical MCEM-MMIL,II_III,NK cells,I,5,0.3559858349884234,0.5181990475640987
test,Categorical MCEM-MMIL,II_III,Epithelial cells,I,10,0.24580439156147743,0.39180652420123463
test,Categorical MCEM-MMIL,II_III,Epithelial cells,II_III,10,0.34718228213586527,0.4078351329461362
test,Categorical MCEM-MMIL,II_III,NK cells,II_III,5,0.1995964783867702,0.41114895767940224
test,Categorical MCEM-MMIL,II_III,Myeloid cells,II_III,53,0.15006385746269807,0.3000808997576344
test,Categorical MCEM-MMIL,II_III,MAST cells,II_III,3,0.09702763412048958,0.19939297465948866
test,Categorical MCEM-MMIL,II_III,Endothelial cells,II_III,1,0.0889100677424628,0.0889100677424628
test,Categorical MCEM-MMIL,II_III,T lymphocytes,II_III,138,0.08271858950738542,0.23423136864713612
test,Categorical MCEM-MMIL,II_III,Undetermined,II_III,1,0.0663001467756937,0.0663001467756937
test,Categorical MCEM-MMIL,II_III,B lymphocytes,II_III,40,0.06530569486604196,0.11291727002225506
test,Categorical MCEM-MMIL,II_III,Endothelial cells,IV,1,0.4638728818969201,0.4638728818969201
test,Categorical MCEM-MMIL,II_III,NK cells,IV,5,0.4444176866248063,0.6499160087243296
