iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09427523302433036,0.5866361631515714,0.7468507361254971,0.7531112003211562
2,0.04760879457026765,0.43751149037118725,0.6231220122546325,0.7585307105580088
3,0.026128667444843177,0.35216763665829565,0.6052265799711268,0.7607386591730229
4,0.016593363384460283,0.2983210100984491,0.6294126161663666,0.765154556403051
5,0.012027052205596342,0.2607464924424794,0.6766145511528421,0.7687675632276194
6,0.009619458044785568,0.2322182243094141,0.7443321263276046,0.7741870734644721
7,0.008572427289112557,0.2093466904566945,0.8388200261389434,0.7782015254917704
8,0.007563491637939734,0.19068201761204767,0.942805335108441,0.7832195905258932
9,0.006585476113176915,0.17500253404062271,1.0312648801226667,0.7902448815736652
10,0.0057468601828143335,0.16189628920086943,1.1198493544285504,0.7948615014050582
11,0.00492283467976328,0.15111744527609844,1.2012160794231477,0.7956643918105178
12,0.0043035387641334535,0.14197145425059132,1.273467862268775,0.7974708952228021
13,0.0039655664452992396,0.13375997927275513,1.339109045639371,0.7996788438378162
14,0.0037137479848816557,0.1263368912011908,1.3982730774598269,0.7992773986350863
15,0.0032554317203937018,0.11996228079373808,1.4490400384166204,0.8020875150541951
16,0.002796476484030865,0.11459589867604617,1.4943290111992225,0.802488960256925
17,0.0024247212733246263,0.11008281819593961,1.536359737979599,0.8038940184664793
18,0.002124652685059225,0.10629069230964157,1.5697382369676198,0.8052990766760337
19,0.0018079905679368596,0.1031262869807739,1.5980233440951634,0.8048976314733038
20,0.001541669679995784,0.10052049162005036,1.6217665904527947,0.8081091930951425
21,0.0013300262554819418,0.09837601445948303,1.6414401275601525,0.8083099156965075
22,0.0011634215161166095,0.09657441118980468,1.6584240598583344,0.8087113608992372
23,0.0010148008469498986,0.09510087003025461,1.6724849073644075,0.8081091930951425
24,0.0008854311060338756,0.0939522039183663,1.6833370284175775,0.8083099156965075
25,0.000763930986269313,0.09323755745106306,1.6894131799701244,0.8085106382978723
26,0.0006664662312972565,0.09276015219310968,1.6931600994125324,0.8079084704937776
27,0.0005815742683116116,0.09226194140160551,1.697547299100155,0.8079084704937776
28,0.0005033189078477012,0.09179362236651634,1.7019250874168985,0.8081091930951425
29,0.0004395604992029849,0.0913745773655162,1.7060916843750145,0.8087113608992372
30,0.00039175726483374164,0.09101755339856377,1.7098126690127557,0.8085106382978723
