iter,delta,mean_entropy,mean_mc_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.0765442895314597,0.6639349371167796,0.7834468566452347,0.8698447364204842,0.646527498996387
2,0.04212870172380852,0.5589342128389946,0.6298942226841162,0.7974987910016338,0.6485347250100362
3,0.024546869019138422,0.4928035325480958,0.5239675495655577,0.793744984492501,0.6527498996386993
4,0.016224303573968955,0.44799646810516,0.46158286451942626,0.8168842584097387,0.6561621838619028
5,0.012067180787445538,0.41568447129149955,0.41783569525493314,0.8519036237213778,0.6591730228823766
6,0.009701930926742217,0.3904870080745194,0.3862914370370325,0.8944602657061154,0.6623845845042152
7,0.008171761276368093,0.36911716674523076,0.3611258770103438,0.9420577193679903,0.66298675230831
8,0.00622181715097449,0.35374641973584126,0.34559664825627423,0.9836249594822498,0.6641910879164994
9,0.005225614094597789,0.3413254393853758,0.3292168227819523,1.0268741817937823,0.6659975913287837
10,0.0034624341231729427,0.3329231046468013,0.3201319604673994,1.0594765996637248,0.6649939783219591
11,0.0038702551674908406,0.3231692861808562,0.3104410101052732,1.0986950219915217,0.6665997591328784
12,0.0032379158872708753,0.3152538750883541,0.2997036631345492,1.1363094864237628,0.6678040947410678
13,0.0024297732736484998,0.3101036105538259,0.29446430921808386,1.1650080943196086,0.6676033721397029
14,0.0018801067859409793,0.3058539431175,0.29097100371772433,1.183555253342051,0.6680048173424328
15,0.002240220149435314,0.30046176313933326,0.28587804521435867,1.214044136077832,0.6680048173424328
16,0.0017995769697247725,0.2974109926546193,0.28092539189037113,1.2353303030821767,0.6672019269369731
17,0.002284761282978733,0.29259103345460014,0.2773449489892458,1.2700803496981299,0.6680048173424328
18,0.0022500180973403267,0.28920594851670467,0.27561470088021534,1.2993272930102011,0.6712163789642713
19,0.0020565455852958603,0.2845146027208046,0.2688786036715195,1.3299040299245122,0.6710156563629065
20,0.001977646225912477,0.28203736159923753,0.2651385380690785,1.3515773029974347,0.6700120433560819
21,0.0019256227119134588,0.27877652794222785,0.26279007131135046,1.382884458295795,0.6696105981533521
22,0.0015772727910872211,0.27714135379219046,0.2604812258316126,1.3976027043505066,0.6700120433560819
23,0.0013359542332423474,0.2756073967013475,0.26030635799144053,1.413604777476245,0.6700120433560819
24,0.0012628164861157025,0.2750060748900295,0.2574807971239213,1.4198460500545782,0.6704134885588118
25,0.0011823175207549082,0.2756200315010835,0.2596432867096703,1.4208149978328524,0.6702127659574468
26,0.00148958874659588,0.2739799373267616,0.25749760109506725,1.4359020583663555,0.6694098755519872
27,0.0017101083403372587,0.27116986021720696,0.2562225716528671,1.4506706944803576,0.6696105981533521
28,0.0009133996088639835,0.27044813730080924,0.2541434274633195,1.4567904354676322,0.6694098755519872
29,0.0012021080137315228,0.26992349196297416,0.2542121993776404,1.4713295870866667,0.6696105981533521
30,0.0013125330821168037,0.26912529557596404,0.2536946436023985,1.4747097183233449,0.6702127659574468
