split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,1.1916235263818284,0.5,0.39999999999999997,0.4791666666666667,q90_prob
test,Categorical EM-MMIL,12,1.2431086116304733,0.5,0.39999999999999997,0.4791666666666667,q99_prob
test,Categorical EM-MMIL,12,1.3465844283569235,0.5,0.39999999999999997,0.47619047619047616,mean_prob
test,Categorical EM-MMIL,12,1.6950699288426492,0.5,0.39999999999999997,0.47619047619047616,median_prob
test,Categorical MCEM-MMIL,12,1.2037593052002826,0.5,0.39999999999999997,0.47619047619047616,q90_prob
test,Categorical MCEM-MMIL,12,1.2394197676217416,0.5,0.39999999999999997,0.4791666666666667,q99_prob
test,Categorical MCEM-MMIL,12,1.3648046199158286,0.5,0.39999999999999997,0.47619047619047616,mean_prob
test,Categorical MCEM-MMIL,12,1.7324639139630378,0.4166666666666667,0.3333333333333333,0.4107142857142857,median_prob
test,Naive inherited-label classifier,12,0.9561726411019077,0.5,0.39999999999999997,0.48214285714285715,q90_prob
test,Naive inherited-label classifier,12,0.9759314345034006,0.5,0.39999999999999997,0.47619047619047616,mean_prob
test,Naive inherited-label classifier,12,0.9853081841302981,0.4166666666666667,0.3333333333333333,0.4107142857142857,median_prob
test,Naive inherited-label classifier,12,1.0473998209828437,0.5,0.39999999999999997,0.4791666666666667,q99_prob
train,Categorical EM-MMIL,32,0.8591371437448047,0.71875,0.5944444444444444,0.6076023391812866,q90_prob
train,Categorical EM-MMIL,32,0.8965071306276415,0.71875,0.5555555555555555,0.7756892230576442,mean_prob
train,Categorical EM-MMIL,32,0.942128013909375,0.53125,0.42777777777777776,0.3846153846153846,q99_prob
train,Categorical EM-MMIL,32,1.2968633887245395,0.6875,0.5333333333333333,0.742014742014742,median_prob
train,Categorical MCEM-MMIL,32,0.8631783461451431,0.6875,0.5277777777777778,0.7434210526315789,q90_prob
train,Categorical MCEM-MMIL,32,0.905143918310319,0.6875,0.5333333333333333,0.742014742014742,mean_prob
train,Categorical MCEM-MMIL,32,0.9454564106509615,0.5,0.3611111111111111,0.40301003344481606,q99_prob
train,Categorical MCEM-MMIL,32,1.352432713662604,0.6875,0.5333333333333333,0.742014742014742,median_prob
train,Naive inherited-label classifier,32,0.8141802307874075,0.6875,0.5333333333333333,0.742014742014742,mean_prob
train,Naive inherited-label classifier,32,0.8214661767814737,0.6875,0.5333333333333333,0.742014742014742,q90_prob
train,Naive inherited-label classifier,32,0.8458420326910219,0.6875,0.5333333333333333,0.742014742014742,median_prob
train,Naive inherited-label classifier,32,0.8934006650450247,0.46875,0.3333333333333333,0.6382978723404256,q99_prob
