iter,delta,mean_entropy,mean_mc_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.07654488839782475,0.6639330052097654,0.7834468566452347,0.8698426548251136,0.646527498996387
2,0.04227900728249975,0.5590077844205937,0.6298919491790073,0.7980882809650439,0.6503412284223203
3,0.02468595453595925,0.492554120411538,0.5238817939508857,0.7940085305778514,0.6539542352468888
4,0.01623388975074446,0.4478556890404593,0.4612600455971523,0.8170739843372232,0.6563629064632678
5,0.012067114072697236,0.41551595288138937,0.4176941111931242,0.852284986643453,0.6587715776796468
6,0.009698877635272671,0.39032257358194367,0.38609251917188225,0.8950048276960086,0.6619831393014853
7,0.008181570377839852,0.36901045403355126,0.36115129113195554,0.9430737565959239,0.66298675230831
8,0.006237002052121125,0.3537076881259731,0.34576127245917915,0.9849997301244858,0.6645925331192293
9,0.00528960374825416,0.34100080157114904,0.32919479819187086,1.0295840610767943,0.6661983139301485
10,0.0035033963126377115,0.3324226262675952,0.3198016011342339,1.0632801487326993,0.6657968687274187
11,0.0038893606879845154,0.3227497143282925,0.30995354198206393,1.1022898459104482,0.6668004817342432
12,0.00325959335520724,0.3149336376618307,0.2996445331686138,1.1404862040762056,0.667402649538338
13,0.0024955917045660515,0.309496983609129,0.29405185753446494,1.170176131173649,0.6678040947410678
14,0.0019341114929621584,0.30514211032416566,0.29067115745102917,1.1894752681184464,0.6676033721397029
15,0.002413479397492831,0.2990832014841138,0.2849089766450644,1.223210772462327,0.6680048173424328
16,0.002195999369015968,0.2958659272766839,0.27973149168771916,1.24814725715077,0.6684062625451626
17,0.0027633383643849044,0.29061168407921156,0.275641040361585,1.2902096721327723,0.6696105981533521
18,0.0023102255952184916,0.28731492418320453,0.27351862878132016,1.321792375219147,0.6710156563629065
19,0.002109127782828329,0.28282318597819245,0.26715803082278,1.3532160083890874,0.6704134885588118
20,0.0018211818463231843,0.28027181800788914,0.26344725167106386,1.3734465278212828,0.6688077077478924
21,0.0017602691175166209,0.2771955014079001,0.2613828680387818,1.400372836618835,0.6702127659574468
22,0.0016645548767731779,0.2756033598632895,0.258928537188465,1.4129053818418476,0.6694098755519872
23,0.0013711769547157195,0.27350014102621656,0.25842495051988396,1.4343757832436146,0.6702127659574468
24,0.001145238943207277,0.2735489661658681,0.25607817588964354,1.435041569672067,0.6698113207547169
25,0.00115374155492838,0.27341956728912475,0.257329542539099,1.4431878476843236,0.6698113207547169
26,0.001598977363736591,0.2712585479690458,0.2548928293572888,1.4629395548556543,0.6688077077478924
27,0.0016838219285729471,0.2687437606003329,0.25393830554963076,1.4774322498302621,0.6688077077478924
28,0.000810814616026157,0.2684394568832126,0.25273316632043563,1.4785634395485348,0.6690084303492573
29,0.0011234514798087515,0.26795319704872284,0.2524087466238895,1.4952413970028091,0.6696105981533521
30,0.0011974958649936507,0.267144902482353,0.2517962552497006,1.5018314649197138,0.6702127659574468
