split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.029090147520699352,0.05175596138838555
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.005914986436099191,0.013968651650781441
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.5497163829820738,0.8411681883630803
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.12391902790381837,0.318143159727675
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.026491666225712803,0.0466206223490571
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,0.00687790455712285,0.00874339395226686
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.006493143065875281,0.012086559730457209
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.0064908089561632,0.0064908089561632
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.004333978992259542,0.010077528057269868
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.0033994489119662237,0.004880970056833659
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.0012099494696495056,0.00219952775606524
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9928750640942512,0.9994514028414563
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9158047014147165,0.9851238663841017
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.888273688056896,0.888273688056896
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.8132950812898797,0.9549619734508739
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.7970115925515189,0.9109708806303343
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.7738718109098932,0.8316474053035007
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.5271708245828582,0.7210196012633604
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.5264198900871312,0.7131349159093571
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.42119346949722697,0.789264907416579
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.4834819716983305,0.8526107007457264
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.4687046352449047,0.6078809647676531
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.4201317973766924,0.6426909403290147
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.23378279146818698,0.3586957739888822
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.19850651096434835,0.2670954973280883
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.19559413573863835,0.1999990398359744
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.12674473888496288,0.18047905457096314
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.11249862881384357,0.2136296478656056
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.015578256505222257,0.02276811862912794
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.5104836807078141,0.8289223646324144
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.07191641158447408,0.14833168397691032
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.06830162928648105,0.1177289860488516
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.037021312338620195,0.0694027334809954
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.014241865819391932,0.02860046194496675
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.013462882010063253,0.016604870822542046
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,0.009784432291551598,0.026079320471286666
test,Categorical MCEM-MMIL,I,B lymphocytes,II_III,43,0.005571058780428332,0.007569099124593961
test,Categorical MCEM-MMIL,I,Undetermined,II_III,2,0.00513465678777505,0.00542444372570165
test,Categorical MCEM-MMIL,I,Epithelial cells,IV,109,0.9746373112032259,0.9992295614020703
test,Categorical MCEM-MMIL,I,MAST cells,IV,35,0.8597923791049739,0.9099909228779287
test,Categorical MCEM-MMIL,I,Endothelial cells,IV,29,0.8504800588475361,0.9361540247883113
test,Categorical MCEM-MMIL,I,Undetermined,IV,2,0.7992712074735866,0.8039658985088491
test,Categorical MCEM-MMIL,I,NK cells,IV,81,0.7331918597491704,0.8544405175747777
test,Categorical MCEM-MMIL,I,T lymphocytes,IV,248,0.5656263368039156,0.7666087641867112
