split,model,n_patients,logloss_mean_prob,logloss_median_prob,logloss_q90_prob,logloss_q99_prob
test,Deterministic EM-MMIL,11,0.785935125284336,1.1378960524102177,0.4203450698676114,0.9144584964521539
test,MCEM-MMIL,11,0.7819145128396048,1.1078541483363795,0.41925605702042146,0.8879840609303763
test,Naive inherited-label classifier,11,0.4434652738232768,0.38209242007381905,0.671395067716276,1.0417481295972884
train,Deterministic EM-MMIL,33,0.9997123311254633,1.288603915424311,0.6410089895118967,0.2559091742616976
train,MCEM-MMIL,33,1.0125484467513888,1.3654222134512441,0.6249802379781929,0.2628647580892691
train,Naive inherited-label classifier,33,0.3937872154022292,0.3408365760370596,0.6502748558394047,0.8367965733831613
