split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Undetermined,I,8,0.008587172058767386,0.023982182839552394
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.00027110733548030985,0.00074980533310845
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.17177689867085236,0.5120074480412317
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.007444576766611835,0.00018587468583195998
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.00483118454599658,0.014493401213728198
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.002109411500707588,3.1262995632476943e-06
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.001982317407116454,0.0027886161191799687
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.0018054783982831436,4.867134102114546e-07
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.0011733321617871022,9.950781543855049e-05
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.0002505596871617,0.0002505596871617
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,6.970065753529192e-12,2.0159169734423483e-11
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.9914128279342626,0.9999950649612898
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.965437356749008,0.9999999999589922
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9085931802367949,0.999986559892108
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.8700985057853509,0.9999917521068232
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.8279519939936671,0.9999162404492582
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.8234509897570108,0.8234509897570108
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.8011957165666913,0.9999983912516577
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.7706961879719378,0.9999718829299414
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.6606638364796944,0.9999982946478474
