iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.054453184067439896,0.3000000000000001,0.299194847020934,1.0509315474643464
2,0.03860995696754501,0.29999341695002385,0.2975371791228569,1.0729848854753175
3,0.029007701597210573,0.2999789643068743,0.3004546746234726,1.1415918876513471
4,0.02261442336823066,0.29992302054276787,0.2981244671781756,1.2556863275898271
5,0.017263685832063384,0.2998429628447277,0.3002273373117363,1.3730677481800386
6,0.014614245594641091,0.29970471360422907,0.2991380126929999,1.5157936205378582
7,0.010875758383809293,0.29969227629801887,0.30079568059107703,1.6389342537551146
8,0.010205098433094641,0.29967134001471224,0.30114615894667046,1.7894990914855877
9,0.008839565889316588,0.2995435056989025,0.3000378895519561,1.937511037274785
10,0.008025016791840946,0.29931387968046946,0.29838022165387895,2.10969071700802
11,0.00731187913048109,0.2994496936683006,0.3000663067159231,2.261113805428793
12,0.007330805443993392,0.2990607755907204,0.29776451643459323,2.4503652182467057
13,0.005372000339284332,0.29933717752348976,0.2997158283603297,2.586693124176219
14,0.006015337214461918,0.298936942104445,0.2978876574784503,2.768817234851381
15,0.0048327071250377955,0.2992390283952782,0.2995453253765274,2.9202757487850537
16,0.005296796901716779,0.2986449199790305,0.2974045656910107,3.0792231859909527
17,0.004940985287047845,0.29914701079788775,0.29944112910864823,3.2300008914091136
18,0.004090493979891347,0.29909212431682286,0.29940323955669224,3.381875634576986
19,0.003825658190705173,0.29896061160077136,0.2991190679170219,3.504437630191578
20,0.003465429964985451,0.2989181353639134,0.29906223358908784,3.6230503491973347
21,0.0034627254397457848,0.2987106519450547,0.2985886141896372,3.7417060498863934
22,0.0036137475152671606,0.29900379050519854,0.29939376716870325,3.881535514925719
23,0.0028892392462339365,0.29917629775784427,0.29979160746424177,3.9809576750822453
24,0.002768571315780444,0.29882094340469617,0.29898645448517575,4.086972319742309
25,0.0030206781212221206,0.2987601027601249,0.2988727858293076,4.250627208072891
26,0.002417824489384708,0.29852403262650745,0.2983612768779009,4.406081972223754
27,0.0025100414152890035,0.2983871685928786,0.2980960500142086,4.545311949006894
28,0.0024909293741421563,0.2984463482769703,0.29823813583404374,4.712513385240925
29,0.0022565529891931946,0.2983095126321944,0.2980107985223075,4.8544428098675985
30,0.002939373772727595,0.2984125833713517,0.29822866344605475,5.031138186266036
