iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.0465865353934528,0.3,0.299194847020934,1.1049758528121894
2,0.0418960679910497,0.3000000000000001,0.2955763948091314,1.123266572005957
3,0.036616422918775385,0.299925397323923,0.2993842947807142,1.1674735270669985
4,0.030659824501472137,0.2988987807570894,0.3005588708913517,1.2554894533095364
5,0.024304938780633,0.29689541194472135,0.2980107985223075,1.3855686742172844
6,0.01939246249064094,0.29479401365701113,0.296002652268637,1.5495932524815779
7,0.014645566585929429,0.29304788824698197,0.29471440750213124,1.7179839480498444
8,0.010620131812275774,0.2914914339853747,0.29383347541915317,1.870701203420857
9,0.008569464812058893,0.2892958778042618,0.29076442171071326,2.041918179121252
10,0.0072832785001178705,0.28750873155166323,0.2887183859050867,2.210068754593758
11,0.006015446917514533,0.28676759302862614,0.28820687695368,2.392015218463806
12,0.006647906258107783,0.2862917170150594,0.28769536800227336,2.5988481373374497
13,0.00512836775579987,0.28587037341294785,0.2870228284550535,2.737556645723729
14,0.0053181176504353105,0.28480550160443524,0.2852041299611632,2.9062026181571188
15,0.004032429089354399,0.2840450089206879,0.28405797101449276,3.0505053653731666
16,0.0036273265432606233,0.2844720572438589,0.28499573742540496,3.167102452119905
17,0.0029134906948390183,0.2840910757593763,0.2843800322061191,3.3061589591350207
18,0.0022220206412151542,0.28405933974971836,0.2841716396703609,3.3922154529794857
19,0.0021159094506380894,0.28408929401992133,0.284256891162262,3.4130278667811216
20,0.001975837392440449,0.2834127917113495,0.283404376243251,3.5071606025700843
21,0.0026889188853849106,0.283401599442174,0.28345173818319597,3.619737484346097
22,0.0018888867269595318,0.28375894907281163,0.28408638817845977,3.6738964619325936
23,0.0018776304485373391,0.2835183953718444,0.28363171355498723,3.692464443808561
24,0.001409771402416421,0.28345714439580594,0.2836506583309652,3.7528341817991313
25,0.0011853808580732518,0.2834711464786426,0.28363171355498723,3.7603362427364115
26,0.0015965214473855852,0.28320784242240105,0.28325281803542673,3.804681245332128
27,0.0015698894991003688,0.28326798461061314,0.2833854314672729,3.84551619935787
28,0.0013882213533168558,0.2834990077051408,0.28390641280666856,3.8714385057935066
29,0.0012098924513739434,0.2833651588768764,0.28371696504688837,3.9009828215914206
30,0.0010645039784138656,0.2827241594229264,0.28269394714407503,3.9610004554351477
