iter,delta,mean_q_advanced,train_logloss_inherited
1,0.0455868397514359,0.3000000000000001,1.1035967942657112
2,0.0418141275050273,0.3000000000000001,1.1134821536653638
3,0.03658238129114658,0.2999199837300015,1.1641138077760742
4,0.03067629273817195,0.29886956970679873,1.2548701581481123
5,0.02484040773336878,0.29687540262190276,1.3876424986616764
6,0.019252508710495927,0.2948269492748247,1.548089413357837
7,0.014585316479297377,0.2928672620768851,1.7146348046420923
8,0.011065031568180818,0.2909695089175672,1.8826867365003481
9,0.008516717159175326,0.28913974283127675,2.050058363676455
10,0.006832271964048306,0.28758074204715606,2.216799012728554
11,0.006077826238828052,0.28641915933921663,2.4074215286841443
12,0.006214708347083342,0.2856276669633349,2.603008741415354
13,0.005327880948124699,0.28508584233082235,2.76436121091421
14,0.00453120796003535,0.28467871914334486,2.911301031265465
15,0.003831997998587643,0.28434221807523596,3.0451617856125512
16,0.003240028429341879,0.2840803252106203,3.166700162547248
17,0.002767030046835007,0.2838882783342329,3.2745977611706696
18,0.002397061213908145,0.28373236507682925,3.3699567895542337
19,0.002113142684141746,0.283606419186201,3.453785296982772
20,0.001903826426564785,0.2834998893617469,3.5271838249692076
21,0.00174345795589773,0.28340454139279536,3.592193069268372
22,0.0015952376967802266,0.28332021385743633,3.6504731002858586
23,0.0014954018373846544,0.28325022171076164,3.7027433598891477
24,0.00142235404901555,0.28319108018898137,3.7503711954554007
25,0.0013542491722667606,0.28313158051341003,3.7942783280400936
26,0.0012857226639646057,0.283054588832349,3.8342235365220487
27,0.0012255868841386452,0.2829649087934246,3.8700437465833115
28,0.0011763541711511784,0.2828593878196433,3.902336978194805
29,0.0011430818326224638,0.2827425163295222,3.9316054513035414
30,0.001122523076028015,0.28261639519360876,3.958619548018304
