split,model,n_patients,logloss_mean_prob,logloss_median_prob,logloss_q90_prob,logloss_q99_prob
test,Deterministic EM-MMIL,11,1.4362642978818376,3.509071376042155,1.237263146928767,0.3794001319537428
test,MCEM-MMIL,11,1.431887566637995,3.5068978698390585,1.2358744434325872,0.3769695515855264
test,Naive inherited-label classifier,11,0.5430636469299059,0.5591862022601218,0.6378606032621583,0.8516278036921697
train,Deterministic EM-MMIL,33,1.1220026369272411,3.209414023104223,0.7572461932649917,0.4793852566872741
train,MCEM-MMIL,33,1.1215129587521822,3.2247039926541725,0.750658691741614,0.4860039672473033
train,Naive inherited-label classifier,33,0.5455684826044663,0.5512937440011753,0.6327191775258671,0.8692528371562341
