iter,delta,mean_entropy,mean_mc_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.08933679920336095,0.5858914559571896,0.7834468566452347,0.7261053391905298,0.8004817342432758
2,0.0380686626288424,0.46975370083964624,0.5512264671727977,0.6090560967549056,0.7848253713368125
3,0.018469227640161436,0.4188759419030357,0.43548742233062365,0.584112044792786,0.7810116419108791
4,0.011296609757662175,0.393267576112155,0.3840026405654625,0.5835940254346166,0.7796065837013247
5,0.008273398846283635,0.37945407193344105,0.35991395784545527,0.5884723254539902,0.7753914090726616
6,0.0074188228898211354,0.37162059256911667,0.3480785436897546,0.5957143018824524,0.7719791248494581
7,0.007019231757800699,0.3657153345067756,0.33835651247577747,0.5977874829984144,0.7753914090726616
8,0.006248294791478738,0.363596683483942,0.33601736618606565,0.6017718438640155,0.7717784022480931
9,0.006452674636368825,0.36148705417970295,0.33513673588735393,0.6057524224053994,0.7713769570453634
10,0.006181873677742473,0.36015744231152363,0.3324998345891601,0.6059697080393115,0.7727820152549177
11,0.006323537100149401,0.359322483931115,0.3339113230185747,0.6081478555452621,0.7723805700521879
12,0.006326476568644906,0.3581885100485192,0.32834655157133097,0.6077701982149518,0.7721798474508229
13,0.006189013683815701,0.3575837252230616,0.32649775216967475,0.6097043268560074,0.769971898835809
14,0.006193898930843731,0.3563495708063874,0.3250534690604611,0.6110582795371913,0.7719791248494581
15,0.006249563645440584,0.35584519605269627,0.3287289315228958,0.6112114247762234,0.7713769570453634
16,0.006021004630076305,0.35576262829110955,0.32484206008341737,0.6113235308911236,0.7731834604576475
17,0.006208161893155172,0.3557250956827229,0.32675848423094284,0.6135322237588436,0.7713769570453634
18,0.006324709970413938,0.3550361544737294,0.32620373217042165,0.6143675906244788,0.7745885186672019
19,0.006084021414406287,0.35590662875615153,0.3258993621005779,0.6145844261842741,0.7721798474508229
20,0.0061918829069045256,0.3558112862378495,0.3248483097293802,0.6124885097041235,0.7749899638699318
21,0.0060863635784389955,0.35576750987736605,0.3265625582050569,0.6123631032171413,0.7747892412685669
22,0.006069261577921247,0.3558302018080221,0.32500580554374114,0.6158134935901001,0.7729827378562826
23,0.006018224459578269,0.3546995810163361,0.32701765266074373,0.6165621247673916,0.7729827378562826
24,0.006002482989083945,0.35369523917722634,0.32550513481896437,0.6153834348954947,0.7731834604576475
25,0.006238818051739104,0.3554981633738608,0.3265369383058455,0.6154214702649349,0.7733841830590125
26,0.006164186214276866,0.3544017885073816,0.32501061794884945,0.616511704587974,0.7729827378562826
27,0.0059456621687213,0.353354957353302,0.32485631096949713,0.6164708213256828,0.7735849056603774
28,0.006245451244383568,0.3533131450441479,0.3233462781396762,0.6173673933483425,0.7721798474508229
29,0.006157780984267755,0.3537795581838884,0.3234715456703045,0.6175193588109655,0.7735849056603774
30,0.006113963578008052,0.3537168732428106,0.3254559417640168,0.6167857845711076,0.774387796065837
