iter,delta,mean_q_advanced,train_logloss_inherited
1,0.04458106244817669,0.3,1.09852709233075
2,0.03998027148925462,0.29999999999999993,1.109640174186341
3,0.034421005013178504,0.3000000000000001,1.1596106465103104
4,0.028659409798023266,0.2999596815699195,1.2366043509639928
5,0.02347767539433908,0.29931926566216405,1.331814315916923
6,0.01904364567568164,0.2981933264621652,1.4382459389659061
7,0.014863136171986166,0.296475021973572,1.5465834103734153
8,0.010641483804201211,0.2935516342280448,1.6490784425022567
9,0.006974383910474306,0.29017740685579696,1.7397496169170181
10,0.004447280181114584,0.2872312019651174,1.814108463092648
11,0.0029991233851641213,0.285081563465665,1.8713523149162528
12,0.002184260828597016,0.2836395857596192,1.9132043128842848
13,0.0017068701407738514,0.28272587678721567,1.9426157325495523
14,0.001421057493911082,0.2821725664719488,1.9630769869520186
15,0.001235761139421833,0.28185912268560087,1.9775771676790397
16,0.0011076337967010892,0.2817011880266032,1.9882572381627353
17,0.0010118589646382736,0.28164324947893743,1.9964009774085785
18,0.0009387211501473037,0.28164738084276647,2.002928901229402
19,0.0008810292362691805,0.2816906614979602,2.008363616865295
20,0.000832710132720545,0.2817600921259054,2.013035771613888
21,0.0007891589258678857,0.28184420231623525,2.0171371321663654
22,0.0007458783584620522,0.28193290902155693,2.020815695810476
23,0.0007027599381746249,0.28202366019215475,2.0241391509084683
24,0.0006594947652515803,0.28211177292003536,2.0271840551605487
25,0.0006165936563645189,0.2821971067135841,2.029962203160578
26,0.0005762568359124779,0.2822773380886747,2.0325133432432327
27,0.0005368969600106111,0.28235143778674365,2.034853770306178
28,0.0004993804031713499,0.28242001600163974,2.03700135297288
29,0.00046477356149212767,0.2824838316410694,2.038973267055845
30,0.00043234006226911665,0.2825429425299631,2.0407857239354814
