split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
train,Deterministic EM-MMIL,Advanced,NK cells,170,0.22680263516185256,0.21176470588235294,0.12941176470588237
train,Deterministic EM-MMIL,Advanced,Fibroblasts,60,0.16855612397765582,0.15,0.08333333333333333
train,Deterministic EM-MMIL,Advanced,T lymphocytes,1069,0.15592549348664791,0.15060804490177737,0.08886810102899906
train,Deterministic EM-MMIL,Advanced,B lymphocytes,397,0.039724247230847734,0.0327455919395466,0.012594458438287154
train,Deterministic EM-MMIL,Advanced,MAST cells,26,0.02490334203989393,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Endothelial cells,3,1.0000000000000002e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,NK cells,84,0.005625182100463798,0.0,0.0
train,Deterministic EM-MMIL,Early,Myeloid cells,303,0.005119764955088186,0.0033003300330033004,0.0
train,Deterministic EM-MMIL,Early,Fibroblasts,29,0.0026511968412243547,0.0,0.0
train,Deterministic EM-MMIL,Early,Epithelial cells,151,0.0021277449445164047,0.0,0.0
train,Deterministic EM-MMIL,Early,MAST cells,22,0.0012878462576680733,0.0,0.0
train,Deterministic EM-MMIL,Early,T lymphocytes,912,0.001209495305711485,0.0,0.0
train,Deterministic EM-MMIL,Early,B lymphocytes,349,0.0009113503803630208,0.0,0.0
train,Deterministic EM-MMIL,Early,Undetermined,8,2.1603167634646022e-05,0.0,0.0
train,Deterministic EM-MMIL,Early,Endothelial cells,12,6.136923308380397e-06,0.0,0.0
train,MCEM-MMIL,Advanced,Oligodendrocytes,15,0.635817601702757,0.6666666666666666,0.6
train,MCEM-MMIL,Advanced,Epithelial cells,1048,0.5842593766476248,0.5877862595419847,0.43702290076335876
train,MCEM-MMIL,Advanced,Undetermined,17,0.3148467984062376,0.29411764705882354,0.11764705882352941
train,MCEM-MMIL,Advanced,Myeloid cells,714,0.27275974954987525,0.2703081232492997,0.16666666666666666
train,MCEM-MMIL,Advanced,NK cells,170,0.21828863726576964,0.21176470588235294,0.13529411764705881
train,MCEM-MMIL,Advanced,Fibroblasts,60,0.20139289181001102,0.2,0.1
train,MCEM-MMIL,Advanced,T lymphocytes,1069,0.15218303114017964,0.1431244153414406,0.08699719363891488
train,MCEM-MMIL,Advanced,MAST cells,26,0.06976079791693288,0.07692307692307693,0.0
train,MCEM-MMIL,Advanced,B lymphocytes,397,0.038227818986662596,0.03526448362720403,0.012594458438287154
train,MCEM-MMIL,Advanced,Endothelial cells,3,1.0000000000000002e-08,0.0,0.0
train,MCEM-MMIL,Early,Myeloid cells,303,0.005124970860456659,0.0033003300330033004,0.0
train,MCEM-MMIL,Early,NK cells,84,0.004851182171153808,0.0,0.0
train,MCEM-MMIL,Early,Epithelial cells,151,0.0025817156233822096,0.0,0.0
train,MCEM-MMIL,Early,Fibroblasts,29,0.0025462298075399708,0.0,0.0
train,MCEM-MMIL,Early,MAST cells,22,0.0018379285014398469,0.0,0.0
