experiment_id,comparison,delta,mean_delta,median_delta,pct_positive
EXP007_binary_PCAk20_glmnet_lasso_seed2026,MCEM - EM-MMIL,-0.03333333333333355,-0.0009259259259259411,0.0,2.7777777777777777
EXP008_binary_PCAk20_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP009_binary_PCAk50_glmnet_ridge_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP010_binary_PCAk50_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP011_binary_PCAk50_glmnet_lasso_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP012_binary_PCAk50_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP013_binary_ICAk10_glmnet_ridge_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP014_binary_ICAk10_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP015_binary_ICAk10_glmnet_lasso_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP016_binary_ICAk10_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP017_binary_ICAk20_glmnet_ridge_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP018_binary_ICAk20_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP019_binary_ICAk20_glmnet_lasso_seed2026,MCEM - EM-MMIL,-0.03333333333333355,-0.0009259259259259411,0.0,2.7777777777777777
EXP020_binary_ICAk20_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP021_binary_ICAk50_glmnet_ridge_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP022_binary_ICAk50_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP023_binary_ICAk50_glmnet_lasso_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP024_binary_ICAk50_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP025_binary_NMFk10_glmnet_ridge_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP027_binary_NMFk10_glmnet_lasso_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP028_binary_NMFk10_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP029_binary_NMFk20_glmnet_ridge_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP030_binary_NMFk20_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP031_binary_NMFk20_glmnet_lasso_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP032_binary_NMFk20_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP033_binary_NMFk50_glmnet_ridge_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP034_binary_NMFk50_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP035_binary_NMFk50_glmnet_lasso_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
EXP036_binary_NMFk50_xgboost_seed2026,MCEM - EM-MMIL,0.0,-0.0009259259259259411,0.0,2.7777777777777777
