iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09557322959103982,0.5732859637001185,0.7231243706637648,0.7701726214371738
2,0.047631595758077475,0.41560595279513923,0.582298615305588,0.7761942994781212
3,0.02591318179835447,0.32765469873053893,0.5545754209968532,0.7796065837013247
4,0.01647861209065165,0.2749761351526836,0.5730995741957013,0.7850260939381775
5,0.011124625230534865,0.24044222019391898,0.6103170994930008,0.7870333199518266
6,0.00844037047440934,0.21621712015588782,0.6574912336983633,0.788237655560016
7,0.006281320106098595,0.19899287522706155,0.7065246260716816,0.7904456041750301
8,0.004956537424282445,0.1860356533463565,0.7555642293655613,0.7920513849859494
9,0.0040131862586884485,0.17601816217478236,0.8013007937787524,0.7942593336009635
10,0.0034491470531658464,0.16798507903219645,0.8444658201471915,0.7936571657968687
11,0.002777721536378732,0.16171384538009423,0.8822439040743081,0.7932557205941388
12,0.0022843140588773223,0.1566244114906944,0.9164524758150987,0.7936571657968687
13,0.002010225955075132,0.15239802536648453,0.9474334564746353,0.7948615014050582
14,0.0018612480223991416,0.14868715877704794,0.9756732928546377,0.7960658370132477
15,0.0015047990002696125,0.14567348511432662,0.998038296048356,0.7962665596146126
16,0.0013082961616273565,0.14302752256049886,1.0182690123964486,0.7968687274187074
17,0.0012157440087064303,0.14055078959939096,1.0378311385855707,0.7978723404255319
18,0.001149392351860591,0.13825574155181958,1.0562320131159297,0.7980730630268968
19,0.0010201134434832016,0.13629585967518004,1.0715464383281161,0.799879566439181
20,0.0010308487865330473,0.1343535868973587,1.0876678252789787,0.799879566439181
21,0.0010145795098282454,0.1325555832107774,1.1029086056547845,0.7996788438378162
22,0.0008996704427779135,0.13089193131051952,1.116193491992833,0.7996788438378162
23,0.0008159447446879553,0.12939811473873863,1.1281844437129835,0.8012846246487354
24,0.0007857246025588098,0.12789913570818234,1.140899375264701,0.8016860698514653
25,0.0007219054430899826,0.1265693568097782,1.1521016115641065,0.8016860698514653
26,0.0007018337015419235,0.12519955627404258,1.16405630769191,0.802488960256925
27,0.0008275930458644742,0.12380034811730191,1.1764926437644865,0.80228823765556
28,0.0006205834052985207,0.12278333448154521,1.1846734955056686,0.802488960256925
29,0.0005545608247710307,0.12181740867795256,1.1927504696878304,0.80228823765556
30,0.000522648599207639,0.1208806337404786,1.200760166254073,0.8020875150541951
