split,model,n_cells,logloss,accuracy
test,Naive categorical baseline,2208,1.488021432333579,0.45063405797101447
test,Categorical EM-MMIL,2208,1.340260195881295,0.5643115942028986
test,Categorical MCEM-MMIL,2208,1.3251543600472426,0.5656702898550725
train,Naive categorical baseline,4792,0.6921655721105467,0.7166110183639399
train,Categorical EM-MMIL,4792,0.82926484775908,0.7157762938230384
train,Categorical MCEM-MMIL,4792,0.8358092998219915,0.7161936560934892
