lambda,validation_logloss,validation_auroc,converged
0.3,0.49198818352961254,0.9166666666666667,True
0.1,0.5350384205303772,0.9166666666666667,True
0.03,0.5509714738456035,0.8333333333333334,True
1.0,0.5799143930407488,0.75,True
3.0,0.6509887098544068,0.5833333333333333,True
0.01,0.691118452694705,0.8333333333333334,True
10.0,0.6990179501770452,0.5833333333333333,True
0.003,0.8297625709071481,0.8333333333333334,True
0.001,0.9700461039311242,0.8333333333333334,True
