lambda,validation_logloss,converged
0.003,0.4971424876189097,True
0.001,0.49731854411743587,True
0.01,0.49784043901444197,True
0.03,0.5036420418935971,True
0.1,0.5250808783537262,True
0.3,0.5613740271453457,True
1.0,0.6043011567220928,True
