split,model,score,n_patients,auroc,logloss,brier
test,Paper-style noisy-OR MMIL,noisyOR_patient_prob,11,0.9333333333333333,0.4715428198400367,0.14850602698723506
train,Paper-style noisy-OR MMIL,noisyOR_patient_prob,33,0.9925925925925926,0.3695351258255647,0.10742572829429713
