iter,delta,mean_entropy,mean_mc_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.07654469544269697,0.6639334522349016,0.7834468566452347,0.8698430071635121,0.646527498996387
2,0.04318950671699589,0.5578681435470905,0.6298872185710827,0.7995429830647485,0.6461260537936572
3,0.024375942833738284,0.49279137465100703,0.5231004349308239,0.7952610633470171,0.6497390606182256
4,0.016280722859307945,0.4485334195694214,0.4612972175061731,0.8172258171391642,0.6551585708550783
5,0.012287138359765743,0.4161142423083478,0.41831560539597734,0.8515675717207695,0.6587715776796468
6,0.009729346094281617,0.3909520495809596,0.38655885311298704,0.8931835516631589,0.6617824167001204
7,0.008135998438515125,0.369747878741097,0.3619331554087698,0.9398640755178091,0.662786029706945
8,0.006319049482171401,0.35417553661944134,0.34610263329393126,0.9816476570380439,0.6637896427137696
9,0.005241693051747443,0.3415189127066732,0.32943442878258444,1.0248947918341866,0.6661983139301485
10,0.0035047720837602554,0.3331091955851122,0.32045237530461307,1.0576265254702915,0.6661983139301485
11,0.003892202183926789,0.3234420982810419,0.31065993882218484,1.0966186245305019,0.6663990365315134
12,0.0033087374229702174,0.31532690242618805,0.29987729841396893,1.135122722303174,0.667402649538338
13,0.002371787684153472,0.3102649778021041,0.2947305211222453,1.1626336599650655,0.6680048173424328
14,0.0019105604096295275,0.30572626906242545,0.2908600944839669,1.1828433012023833,0.6690084303492573
15,0.002223272054399849,0.30029547330387485,0.28571130461448824,1.2137856856158733,0.6678040947410678
16,0.0017465864200806507,0.2971466583590066,0.28080467513086055,1.2349877300325451,0.6676033721397029
17,0.002143055925149639,0.29255685977027196,0.277517425125483,1.2655268322107818,0.6682055399437977
18,0.001874687598537177,0.28913316712573034,0.27562697308814915,1.2932227518541561,0.6694098755519872
19,0.0020066525960416525,0.2846704600236018,0.2697291248049076,1.3250864769927793,0.6708149337615416
20,0.002241800123749202,0.28198044534846933,0.2654517660734675,1.3504668086142542,0.6704134885588118
21,0.0019166933523154966,0.2790574740593098,0.2631741502030092,1.3783985034861357,0.6704134885588118
22,0.0019252472135922753,0.27694568348728926,0.2605588455884543,1.3983733315590394,0.6700120433560819
23,0.001402055889103095,0.2753126737069247,0.26012360251706185,1.4160227173075226,0.6712163789642713
24,0.001299500326771478,0.27449321813160155,0.2571678749193945,1.4259352198180557,0.6706142111601766
25,0.0012005290622172005,0.27472648737385286,0.2589649206386038,1.431917816738287,0.6702127659574468
26,0.001491686725443304,0.27313997629880155,0.2570239279398563,1.4469592594227707,0.6700120433560819
27,0.0017484216425814397,0.2700992886693179,0.255464379701973,1.4669406113441195,0.6694098755519872
28,0.0008079758535851818,0.26967868030923725,0.2535619593319351,1.4697702581711256,0.6700120433560819
29,0.0011655008193791488,0.26924566353846885,0.25373151175265757,1.4828956947321628,0.6698113207547169
30,0.0012641455214413076,0.2685838085329715,0.2532595020875576,1.4854736287400139,0.6702127659574468
