split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.013208109401797332,0.0341424825393321
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.0003876539809060475,0.00017993468529844037
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.8244504766149995,0.9980761134193532
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.11513060805712226,0.34396971904498125
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.015520180199274503,0.03271043882809945
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.0082514550581359,0.0082514550581359
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.005651166298277788,0.012280210904289922
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.0013609508674041037,0.0034607390483403296
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,0.000885041401854,0.00156324492543697
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.00032398425573376845,0.00060127929580984
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,2.4562049903018495e-06,1.3301617119829484e-06
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9996098898141037,0.9999999910218905
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9527262629567419,0.9988645703074084
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.8774115492680808,0.8774115492680808
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.8514264958419788,0.9721832946987388
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.8272368381981469,0.9988433423020198
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.7231853857559929,0.8605965681883273
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.5516546664864368,0.8732120892126293
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.536882999122145,0.8295441460741144
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.16234141398320315,0.4870242166173738
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.46604231311127997,0.8830744318693937
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.43457172187623666,0.6478108100232601
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.42844465875973,0.7766730538070458
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.27291353754560854,0.5646826622511953
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.18786571599125218,0.3495692494341963
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.16074366119455152,0.3729395679143109
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.1465812331181049,0.1711284091517497
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.041193258886611205,0.09221735081190477
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.007727404895363041,2.4657707232904345e-05
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.5419836640349139,0.9187317404046016
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.10534717284194303,0.26795392620324265
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.08504502196890133,0.2205429959453708
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.013331419728849278,0.030976630155294737
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.011263316638041742,0.021656874286213542
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.0074047039958965825,0.021679071062670256
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,0.0006775258510429537,4.980009972754289e-05
test,Categorical MCEM-MMIL,I,B lymphocytes,II_III,43,0.0001715301156517744,0.00025649233051862016
test,Categorical MCEM-MMIL,I,Undetermined,II_III,2,7.695763602256573e-05,0.00010148346118203315
