experiment_id,task_type,categorical_scheme,feature_method,n_components,model_backend,glmnet_alpha,seed,rho,label_strength,mcem_samples,model,aggregation,n_patients,n_early,n_advanced,auroc,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,metric_name,metric_value
EXP010_binary_PCAk50_glmnet_elasticnet_seed2026,binary,,PCA,50,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP011_binary_PCAk50_glmnet_lasso_seed2026,binary,,PCA,50,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP011_binary_PCAk50_glmnet_lasso_seed2026,binary,,PCA,50,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP011_binary_PCAk50_glmnet_lasso_seed2026,binary,,PCA,50,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP012_binary_PCAk50_xgboost_seed2026,binary,,PCA,50,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,q99_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP012_binary_PCAk50_xgboost_seed2026,binary,,PCA,50,xgboost,,2026,0.7,,30,MCEM-MMIL,q99_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP012_binary_PCAk50_xgboost_seed2026,binary,,PCA,50,xgboost,,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP013_binary_ICAk10_glmnet_ridge_seed2026,binary,,ICA,10,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,prop_gt_0.5,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP013_binary_ICAk10_glmnet_ridge_seed2026,binary,,ICA,10,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,prop_gt_0.5,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP013_binary_ICAk10_glmnet_ridge_seed2026,binary,,ICA,10,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,prop_gt_0.9,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP014_binary_ICAk10_glmnet_elasticnet_seed2026,binary,,ICA,10,glmnet,0.5,2026,0.7,,30,Deterministic EM-MMIL,prop_gt_0.5,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP014_binary_ICAk10_glmnet_elasticnet_seed2026,binary,,ICA,10,glmnet,0.5,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP014_binary_ICAk10_glmnet_elasticnet_seed2026,binary,,ICA,10,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,prop_gt_0.9,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP015_binary_ICAk10_glmnet_lasso_seed2026,binary,,ICA,10,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,prop_gt_0.5,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP015_binary_ICAk10_glmnet_lasso_seed2026,binary,,ICA,10,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP015_binary_ICAk10_glmnet_lasso_seed2026,binary,,ICA,10,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,prop_gt_0.9,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP016_binary_ICAk10_xgboost_seed2026,binary,,ICA,10,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,q99_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP016_binary_ICAk10_xgboost_seed2026,binary,,ICA,10,xgboost,,2026,0.7,,30,MCEM-MMIL,q99_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP016_binary_ICAk10_xgboost_seed2026,binary,,ICA,10,xgboost,,2026,0.7,,30,Naive inherited-label classifier,q90_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP017_binary_ICAk20_glmnet_ridge_seed2026,binary,,ICA,20,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP017_binary_ICAk20_glmnet_ridge_seed2026,binary,,ICA,20,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP017_binary_ICAk20_glmnet_ridge_seed2026,binary,,ICA,20,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP018_binary_ICAk20_glmnet_elasticnet_seed2026,binary,,ICA,20,glmnet,0.5,2026,0.7,,30,Deterministic EM-MMIL,median_prob,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP018_binary_ICAk20_glmnet_elasticnet_seed2026,binary,,ICA,20,glmnet,0.5,2026,0.7,,30,MCEM-MMIL,median_prob,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP018_binary_ICAk20_glmnet_elasticnet_seed2026,binary,,ICA,20,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP019_binary_ICAk20_glmnet_lasso_seed2026,binary,,ICA,20,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,median_prob,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP019_binary_ICAk20_glmnet_lasso_seed2026,binary,,ICA,20,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP019_binary_ICAk20_glmnet_lasso_seed2026,binary,,ICA,20,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP020_binary_ICAk20_xgboost_seed2026,binary,,ICA,20,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
