iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.08185027979389903,0.6290213927960921,0.8130538156222443,0.7141710156563629
2,0.04508350914889249,0.497305509844824,0.710132999858944,0.7199919710959454
3,0.02716910076664814,0.4130279384164013,0.6981371270504906,0.7250100361300682
4,0.019129513240948838,0.35631557281102505,0.7372926773814588,0.7298273785628262
5,0.014412500834591445,0.31712474744876895,0.806825897671743,0.7316338819751104
6,0.010653816781309946,0.2898052299667062,0.8771203949825873,0.73243677238057
7,0.007918754172380318,0.27038210041018557,0.9338448921418393,0.7366519470092332
8,0.00603398524480615,0.2561254672680653,0.9819739702239455,0.737254114813328
9,0.0047479504410830285,0.2452822227385656,1.0240958251974357,0.7388598956242473
10,0.0038857384784622556,0.23671771708948836,1.060091090408677,0.7390606182256122
11,0.0033888550071154923,0.22960757032037932,1.0930555522776448,0.7398635086310719
12,0.003516883935613834,0.22341978240374963,1.1267137381033787,0.7384584504215175
13,0.0034699622730903,0.21755768468149328,1.1615996962178639,0.7412685668406263
14,0.003297268928042208,0.21226001589336957,1.1947097714549566,0.7434765154556403
15,0.0028180500959578136,0.20782486423101804,1.2216009884507921,0.7436772380570053
16,0.002239119681947612,0.20422792921778202,1.242945643447589,0.7444801284624649
17,0.0018087104090952046,0.20128839370292032,1.2604484494187247,0.7442794058611
18,0.001463489456640619,0.1988588631736847,1.2745325181864238,0.7438779606583701
19,0.0011761969008080226,0.19690297426493558,1.286014726862491,0.744078683259735
20,0.0009772413425405571,0.19528719822648205,1.295597673202021,0.7442794058611
21,0.0008275702714888122,0.1939418423740216,1.303570471680891,0.744078683259735
22,0.0007143285003643578,0.19281394890250209,1.3102896863082263,0.7438779606583701
23,0.0006282956965995729,0.19186306865267155,1.3160124841714682,0.744078683259735
24,0.0005657287935066851,0.19105633089865154,1.3209022349849486,0.7438779606583701
25,0.0005244847978596552,0.19036674042473373,1.32508219477015,0.7444801284624649
26,0.0005017433399677712,0.18977039522295588,1.3287277842620377,0.7442794058611
27,0.0004943029536261315,0.1892421377569376,1.3319694584882769,0.7438779606583701
28,0.0004942862193317183,0.1887578388150239,1.334969217842038,0.744078683259735
29,0.0004905815963451369,0.18829591426720368,1.3378735295007493,0.7450822962665596
30,0.00047721726037765254,0.1878440580688431,1.3407981146649182,0.7448815736651947
