split,model,n_patients,logloss_mean_prob,logloss_median_prob,logloss_q90_prob,logloss_q99_prob
test,Deterministic EM-MMIL,11,1.2739578246866672,3.078003044402185,0.6992690907851812,0.23441507403529946
test,MCEM-MMIL,11,1.296357730309189,3.2013893088808043,0.7412848610754964,0.1902014487488029
test,Naive inherited-label classifier,11,0.44686830050095133,0.40948148770708065,0.7249503496086717,1.1661824370658453
train,Deterministic EM-MMIL,33,0.9591378643100376,2.707933799406065,0.594658722039966,0.09745301808572014
train,MCEM-MMIL,33,0.9474845888056046,2.797438690469743,0.5682787131482829,0.1013382584114656
train,Naive inherited-label classifier,33,0.37341026303633884,0.32731709574722634,0.5863911155856177,1.2726534361920991
