split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Myeloid cells,I,160,0.04822836355223446,0.12050551939516049
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.001231357345115735,0.0025929747845564
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.19799509265460336,0.4482472916553574
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.0821686916913773,0.2321528642117843
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.01726964079014704,0.035133879170255955
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.013988853471066,0.013988853471066
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.011066341858951492,0.019620137848689385
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.005243893086734798,0.00256593199812602
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.004987506395774102,0.007861609250159584
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.004630373871697434,0.007603082626975239
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,4.393522359233068e-06,1.3845052887330551e-05
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9407052945888139,0.9999534873137486
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.9186282939310506,0.9967233024607122
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.8912477633567175,0.9969873811206592
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.8148501313404077,0.9982365229771129
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.8007735500002808,0.9871191499898331
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.7738902002035077,0.999226905446508
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.7416279664577867,0.7416279664577867
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.7265698333846826,0.9961134207220697
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.6196460477151536,0.9822766096782491
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.9020779167161919,0.9667059154086247
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.7495840106767496,0.9719894337896686
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.6023371484414349,0.9588951517175053
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.5837687968866383,0.9585547319853206
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.49397769050631246,0.920282692838854
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.4486070337725053,0.744241399600299
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.36282601928249875,0.6977166620657032
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.34993358028484034,0.7396126439799527
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.2737952022772977,0.7418931734913476
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.2661579506115663,0.5584260282755423
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.2531283848756984,0.992558217531082
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.24436671499164658,0.761135776965912
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,0.23763647776371535,0.7637729275722015
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.19721412569071958,0.5894377476635857
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.14407930869551105,0.36899171114714946
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.042959891487490305,0.12228481248780394
test,Categorical MCEM-MMIL,I,B lymphocytes,II_III,43,0.020199239594258116,0.02652229867874565
test,Categorical MCEM-MMIL,I,Undetermined,II_III,2,3.1719497736214563e-06,3.3847536781468993e-06
test,Categorical MCEM-MMIL,I,Endothelial cells,IV,29,0.594214089230011,0.9013678528605344
test,Categorical MCEM-MMIL,I,Epithelial cells,IV,109,0.4885683199589868,0.9858029176735783
test,Categorical MCEM-MMIL,I,NK cells,IV,81,0.405699704723513,0.8969166942513291
test,Categorical MCEM-MMIL,I,MAST cells,IV,35,0.28523501561592846,0.6353874834725177
test,Categorical MCEM-MMIL,I,Myeloid cells,IV,168,0.25358354286305385,0.8119045624707223
test,Categorical MCEM-MMIL,I,Fibroblasts,IV,31,0.25289392461798915,0.8405970719521786
test,Categorical MCEM-MMIL,I,B lymphocytes,IV,43,0.23021674972899203,0.5884822655745621
test,Categorical MCEM-MMIL,I,T lymphocytes,IV,248,0.21901707742264198,0.5879814021579638
test,Categorical MCEM-MMIL,I,Undetermined,IV,2,0.09791891133403449,0.1625466972225629
test,Categorical MCEM-MMIL,II_III,Undetermined,I,1,0.6808578309133382,0.6808578309133382
test,Categorical MCEM-MMIL,II_III,Myeloid cells,I,53,0.615920412044463,0.964539922510107
test,Categorical MCEM-MMIL,II_III,MAST cells,I,3,0.615176367179346,0.8810373505385509
test,Categorical MCEM-MMIL,II_III,T lymphocytes,I,138,0.6066089514614553,0.9627731776149289
test,Categorical MCEM-MMIL,II_III,B lymphocytes,I,40,0.5274812226529322,0.8868907795862787
test,Categorical MCEM-MMIL,II_III,Endothelial cells,I,1,0.3394191409678262,0.3394191409678262
test,Categorical MCEM-MMIL,II_III,NK cells,I,5,0.2820548820282407,0.47762404221643867
test,Categorical MCEM-MMIL,II_III,Epithelial cells,I,10,0.2710567340804376,0.6192672674636723
test,Categorical MCEM-MMIL,II_III,Epithelial cells,II_III,10,0.5041585293724401,0.8013041864129029
test,Categorical MCEM-MMIL,II_III,MAST cells,II_III,3,0.2015578768316302,0.32876270075523495
test,Categorical MCEM-MMIL,II_III,T lymphocytes,II_III,138,0.06772501181398224,0.24393536500357443
test,Categorical MCEM-MMIL,II_III,Myeloid cells,II_III,53,0.06488561136670294,0.18652373355106155
test,Categorical MCEM-MMIL,II_III,NK cells,II_III,5,0.01733619565239072,0.04525952078263833
test,Categorical MCEM-MMIL,II_III,B lymphocytes,II_III,40,0.014216133998002558,0.015834339787951686
test,Categorical MCEM-MMIL,II_III,Endothelial cells,II_III,1,0.0051729380627797,0.0051729380627797
test,Categorical MCEM-MMIL,II_III,Undetermined,II_III,1,1.755664146149867e-05,1.755664146149867e-05
test,Categorical MCEM-MMIL,II_III,NK cells,IV,5,0.7006089223193687,0.8952612848172595
test,Categorical MCEM-MMIL,II_III,Endothelial cells,IV,1,0.655407920969394,0.655407920969394
test,Categorical MCEM-MMIL,II_III,B lymphocytes,IV,40,0.4583026433490652,0.8531085027749076
test,Categorical MCEM-MMIL,II_III,T lymphocytes,IV,138,0.32566603672456246,0.8493371786190567
test,Categorical MCEM-MMIL,II_III,Myeloid cells,IV,53,0.31919397658883397,0.8762183739191213
test,Categorical MCEM-MMIL,II_III,Undetermined,IV,1,0.3191246124452002,0.3191246124452002
test,Categorical MCEM-MMIL,II_III,Epithelial cells,IV,10,0.22478473654712228,0.5467536492212206
test,Categorical MCEM-MMIL,II_III,MAST cells,IV,3,0.1832657559890237,0.3141511536490177
test,Categorical MCEM-MMIL,IV,MAST cells,I,1,0.2957898129993886,0.2957898129993886
test,Categorical MCEM-MMIL,IV,Fibroblasts,I,6,0.2869340253571598,0.7435656963644577
test,Categorical MCEM-MMIL,IV,B lymphocytes,I,195,0.2777677406155156,0.7191124924562877
test,Categorical MCEM-MMIL,IV,T lymphocytes,I,344,0.22536073899855005,0.6618626707865872
test,Categorical MCEM-MMIL,IV,NK cells,I,34,0.17704100377656007,0.531239754489007
test,Categorical MCEM-MMIL,IV,Epithelial cells,I,267,0.10799507783733905,0.2931211015301369
test,Categorical MCEM-MMIL,IV,Undetermined,I,8,0.09691947010013985,0.23359034670337264
test,Categorical MCEM-MMIL,IV,Myeloid cells,I,160,0.053745408012565644,0.1404043036038837
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,I,6,0.0021594880272111836,0.00427486513883485
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,II_III,6,0.17597473325978666,0.37443032955837996
test,Categorical MCEM-MMIL,IV,Fibroblasts,II_III,6,0.10388547257923188,0.2845063113274706
test,Categorical MCEM-MMIL,IV,MAST cells,II_III,1,0.0209917092266773,0.0209917092266773
test,Categorical MCEM-MMIL,IV,NK cells,II_III,34,0.019388288151260924,0.04463171903915295
test,Categorical MCEM-MMIL,IV,Myeloid cells,II_III,160,0.01307668124216602,0.0260208964788401
test,Categorical MCEM-MMIL,IV,Epithelial cells,II_III,267,0.007140413417353159,0.015053152546148162
test,Categorical MCEM-MMIL,IV,T lymphocytes,II_III,344,0.006662160466588143,0.011903740120053598
test,Categorical MCEM-MMIL,IV,B lymphocytes,II_III,195,0.006604202521668196,0.0048456215705509394
test,Categorical MCEM-MMIL,IV,Undetermined,II_III,8,2.4994694534732774e-05,7.365863514328836e-05
test,Categorical MCEM-MMIL,IV,Myeloid cells,IV,160,0.9331779107452682,0.9997868480881814
test,Categorical MCEM-MMIL,IV,Undetermined,IV,8,0.9030555352053253,0.9939447777921946
test,Categorical MCEM-MMIL,IV,Epithelial cells,IV,267,0.8848645087453076,0.9935040168365986
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,IV,6,0.821865778713002,0.9825239139252286
test,Categorical MCEM-MMIL,IV,NK cells,IV,34,0.8035707080721789,0.9967188520740934
test,Categorical MCEM-MMIL,IV,T lymphocytes,IV,344,0.7679771005348617,0.9982586798413322
test,Categorical MCEM-MMIL,IV,B lymphocytes,IV,195,0.7156280568628162,0.9922745240017606
test,Categorical MCEM-MMIL,IV,MAST cells,IV,1,0.683218477773934,0.683218477773934
test,Categorical MCEM-MMIL,IV,Fibroblasts,IV,6,0.6091805020636083,0.9427162084870282
test,Naive inherited-label classifier,I,Undetermined,I,2,0.7398228008859574,0.8406623812996927
test,Naive inherited-label classifier,I,B lymphocytes,I,43,0.6291831048899054,0.8362088878913819
test,Naive inherited-label classifier,I,Myeloid cells,I,168,0.562369197346574,0.8188477015170129
test,Naive inherited-label classifier,I,T lymphocytes,I,248,0.5298170963096466,0.8085203545194335
test,Naive inherited-label classifier,I,Fibroblasts,I,31,0.4060928200578908,0.7053592122449542
test,Naive inherited-label classifier,I,MAST cells,I,35,0.35447958977027383,0.5342968074826372
test,Naive inherited-label classifier,I,NK cells,I,81,0.33621974113859515,0.5638856650089397
test,Naive inherited-label classifier,I,Endothelial cells,I,29,0.3285566928743757,0.531848844807451
test,Naive inherited-label classifier,I,Epithelial cells,I,109,0.2779415423462725,0.5425766126443063
test,Naive inherited-label classifier,I,Fibroblasts,II_III,31,0.34947555873187264,0.8291241444648536
test,Naive inherited-label classifier,I,NK cells,II_III,81,0.3445730155315494,0.6051263895224394
test,Naive inherited-label classifier,I,MAST cells,II_III,35,0.2848791475966083,0.3950611219028471
test,Naive inherited-label classifier,I,Epithelial cells,II_III,109,0.25698663441660685,0.6056599047881938
test,Naive inherited-label classifier,I,T lymphocytes,II_III,248,0.23054677305450821,0.45715225882724697
test,Naive inherited-label classifier,I,Myeloid cells,II_III,168,0.20614526027798985,0.34203100770637856
test,Naive inherited-label classifier,I,Endothelial cells,II_III,29,0.15832883798718422,0.28110250752971894
test,Naive inherited-label classifier,I,B lymphocytes,II_III,43,0.0869381912981118,0.13524642284285446
test,Naive inherited-label classifier,I,Undetermined,II_III,2,0.024168922907278748,0.025185092248239668
test,Naive inherited-label classifier,I,Endothelial cells,IV,29,0.5131144691384399,0.7386879251695115
test,Naive inherited-label classifier,I,Epithelial cells,IV,109,0.46507182323712065,0.9392338237599704
test,Naive inherited-label classifier,I,MAST cells,IV,35,0.3606412626331178,0.6024896503112046
test,Naive inherited-label classifier,I,NK cells,IV,81,0.31920724332985534,0.6604497087459344
test,Naive inherited-label classifier,I,B lymphocytes,IV,43,0.28387870381198277,0.5358038913133621
test,Naive inherited-label classifier,I,Fibroblasts,IV,31,0.24443162121023648,0.6378865779954652
test,Naive inherited-label classifier,I,T lymphocytes,IV,248,0.2396361306358451,0.4669595103597929
test,Naive inherited-label classifier,I,Undetermined,IV,2,0.23600827620676376,0.33786402596146003
test,Naive inherited-label classifier,I,Myeloid cells,IV,168,0.23148554237543603,0.6531247589165817
test,Naive inherited-label classifier,II_III,Undetermined,I,1,0.575580568767148,0.575580568767148
test,Naive inherited-label classifier,II_III,Myeloid cells,I,53,0.5405708216824777,0.8284772370005271
test,Naive inherited-label classifier,II_III,T lymphocytes,I,138,0.5275075080441681,0.8123667824634891
test,Naive inherited-label classifier,II_III,MAST cells,I,3,0.513776553158719,0.7568145944322975
test,Naive inherited-label classifier,II_III,B lymphocytes,I,40,0.47371804070378165,0.7167861805993683
test,Naive inherited-label classifier,II_III,Endothelial cells,I,1,0.3500353607709361,0.3500353607709361
test,Naive inherited-label classifier,II_III,NK cells,I,5,0.3248031845762859,0.4400259448750508
test,Naive inherited-label classifier,II_III,Epithelial cells,I,10,0.3084061204040987,0.42167168735455524
test,Naive inherited-label classifier,II_III,Epithelial cells,II_III,10,0.4247457955384565,0.6086432715216714
test,Naive inherited-label classifier,II_III,MAST cells,II_III,3,0.24520362110396055,0.31201769951539876
test,Naive inherited-label classifier,II_III,Myeloid cells,II_III,53,0.15893539125452122,0.28073405013714575
test,Naive inherited-label classifier,II_III,NK cells,II_III,5,0.14587604865171927,0.21175468590608706
test,Naive inherited-label classifier,II_III,T lymphocytes,II_III,138,0.14035855828799598,0.32758693351781504
test,Naive inherited-label classifier,II_III,Endothelial cells,II_III,1,0.1136474570685476,0.1136474570685476
test,Naive inherited-label classifier,II_III,B lymphocytes,II_III,40,0.06161364775145374,0.10930978600789065
test,Naive inherited-label classifier,II_III,Undetermined,II_III,1,0.0551875054021219,0.0551875054021219
test,Naive inherited-label classifier,II_III,Endothelial cells,IV,1,0.5363171821605163,0.5363171821605163
test,Naive inherited-label classifier,II_III,NK cells,IV,5,0.5293207667719948,0.6231438041098375
test,Naive inherited-label classifier,II_III,B lymphocytes,IV,40,0.46466831154476457,0.7557762006330562
test,Naive inherited-label classifier,II_III,Undetermined,IV,1,0.3692319258307299,0.3692319258307299
test,Naive inherited-label classifier,II_III,T lymphocytes,IV,138,0.3321339336678358,0.6375973353947645
test,Naive inherited-label classifier,II_III,Myeloid cells,IV,53,0.30049378706300095,0.7406112618777387
test,Naive inherited-label classifier,II_III,Epithelial cells,IV,10,0.26684808405744476,0.5128047346312347
test,Naive inherited-label classifier,II_III,MAST cells,IV,3,0.2410198257373205,0.37131990854577956
test,Naive inherited-label classifier,IV,B lymphocytes,I,195,0.3123043843516958,0.5885409643287831
test,Naive inherited-label classifier,IV,Fibroblasts,I,6,0.27636162500390676,0.5718262468795506
test,Naive inherited-label classifier,IV,T lymphocytes,I,344,0.25961611813895763,0.5673356741383722
test,Naive inherited-label classifier,IV,MAST cells,I,1,0.2504740292647087,0.2504740292647087
test,Naive inherited-label classifier,IV,NK cells,I,34,0.2175631734536962,0.4048664862757866
test,Naive inherited-label classifier,IV,Undetermined,I,8,0.1524330108777,0.2918198759049588
test,Naive inherited-label classifier,IV,Myeloid cells,I,160,0.10913675632978567,0.2732342011605584
test,Naive inherited-label classifier,IV,Epithelial cells,I,267,0.10182872806497054,0.22168485736626678
test,Naive inherited-label classifier,IV,Oligodendrocytes,I,6,0.006450392026172533,0.011433993536452549
test,Naive inherited-label classifier,IV,Oligodendrocytes,II_III,6,0.2420027080901999,0.3705800009834779
test,Naive inherited-label classifier,IV,Fibroblasts,II_III,6,0.1689914056020192,0.3621875571247364
test,Naive inherited-label classifier,IV,NK cells,II_III,34,0.10661455513681906,0.24988356678406345
test,Naive inherited-label classifier,IV,MAST cells,II_III,1,0.0867712004342388,0.0867712004342388
test,Naive inherited-label classifier,IV,Myeloid cells,II_III,160,0.06263936926302993,0.14793065843626646
test,Naive inherited-label classifier,IV,T lymphocytes,II_III,344,0.06255892709288025,0.11287614472029522
test,Naive inherited-label classifier,IV,B lymphocytes,II_III,195,0.04924242425185731,0.0829414447627242
test,Naive inherited-label classifier,IV,Epithelial cells,II_III,267,0.038478381924722284,0.08279564257447662
test,Naive inherited-label classifier,IV,Undetermined,II_III,8,0.027487430956996288,0.0492229006629404
test,Naive inherited-label classifier,IV,Epithelial cells,IV,267,0.8596928900103071,0.973421882836133
test,Naive inherited-label classifier,IV,Myeloid cells,IV,160,0.8282238744071844,0.9815391516528648
test,Naive inherited-label classifier,IV,Undetermined,IV,8,0.8200795581653036,0.9516060636744925
test,Naive inherited-label classifier,IV,Oligodendrocytes,IV,6,0.7515468998836274,0.9370048199755538
test,Naive inherited-label classifier,IV,T lymphocytes,IV,344,0.6778249547681621,0.9611076069293105
test,Naive inherited-label classifier,IV,NK cells,IV,34,0.6758222714094847,0.9245150200974469
test,Naive inherited-label classifier,IV,MAST cells,IV,1,0.6627547703010525,0.6627547703010525
test,Naive inherited-label classifier,IV,B lymphocytes,IV,195,0.6384531913964467,0.9116298053790218
test,Naive inherited-label classifier,IV,Fibroblasts,IV,6,0.554646969394074,0.8755799295536439
train,Categorical EM-MMIL,I,B lymphocytes,I,298,0.7442531235625208,0.9934855385798742
train,Categorical EM-MMIL,I,T lymphocytes,I,762,0.7175821237463011,0.99501849768299
train,Categorical EM-MMIL,I,Endothelial cells,I,9,0.7083416193224221,0.9291137311161688
train,Categorical EM-MMIL,I,Undetermined,I,5,0.6977206542103103,0.9706538110395525
train,Categorical EM-MMIL,I,Myeloid cells,I,271,0.6530273261975595,0.9808444922533952
train,Categorical EM-MMIL,I,NK cells,I,58,0.580764870404443,0.9942101930843049
train,Categorical EM-MMIL,I,MAST cells,I,19,0.5230273557472509,0.8927704316229167
train,Categorical EM-MMIL,I,Epithelial cells,I,75,0.4277488714653624,0.8297947202508775
train,Categorical EM-MMIL,I,Fibroblasts,I,13,0.3423379112551382,0.8045664608156234
train,Categorical EM-MMIL,I,Fibroblasts,II_III,13,0.23680361484579812,0.9781318008533392
train,Categorical EM-MMIL,I,Epithelial cells,II_III,75,0.17097586716177843,0.5667710438865269
train,Categorical EM-MMIL,I,NK cells,II_III,58,0.16983898673988154,0.4374238361573066
train,Categorical EM-MMIL,I,MAST cells,II_III,19,0.16571018630116702,0.37958393819482755
train,Categorical EM-MMIL,I,Myeloid cells,II_III,271,0.116571509847603,0.3217246002933543
train,Categorical EM-MMIL,I,Endothelial cells,II_III,9,0.07647924105451401,0.29817916830825447
train,Categorical EM-MMIL,I,T lymphocytes,II_III,762,0.058427137988374185,0.15478839618132736
train,Categorical EM-MMIL,I,B lymphocytes,II_III,298,0.028595713506351702,0.06084160966342904
