split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,0.9494944246523609,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical EM-MMIL,12,1.02511512742223,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical EM-MMIL,12,1.1441935050826102,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical EM-MMIL,12,1.1534660649691175,0.75,0.6,0.8181818181818181,median_prob
test,Categorical MCEM-MMIL,12,0.9335471694986617,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical MCEM-MMIL,12,1.0217438698593229,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical MCEM-MMIL,12,1.0604274966643976,0.75,0.6,0.8181818181818181,median_prob
test,Categorical MCEM-MMIL,12,1.0863896406596116,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,0.7468021779481897,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.7935660618468633,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.9078441560351611,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,1.0043106894071705,0.5833333333333334,0.4666666666666666,0.6071428571428572,q99_prob
train,Categorical EM-MMIL,32,0.5398856814257043,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical EM-MMIL,32,0.5665175991762191,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical EM-MMIL,32,0.7552819732917952,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Categorical EM-MMIL,32,0.9061349623915703,0.84375,0.7444444444444445,0.7792207792207791,q99_prob
train,Categorical MCEM-MMIL,32,0.5433238358878514,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical MCEM-MMIL,32,0.5542887968358914,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical MCEM-MMIL,32,0.7437056606354668,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Categorical MCEM-MMIL,32,0.9012010088442327,0.8125,0.6777777777777777,0.6919191919191919,q99_prob
train,Naive inherited-label classifier,32,0.4814586022102648,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Naive inherited-label classifier,32,0.5490173932009672,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Naive inherited-label classifier,32,0.6825794475384275,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Naive inherited-label classifier,32,0.846538651444156,0.84375,0.7444444444444445,0.7792207792207791,q99_prob
