iter,delta,mean_entropy,mean_mc_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09416562663621765,0.5866779231475997,0.7834468566452347,0.7470066274977741,0.7539140907266159
2,0.04677906779600902,0.44015539466198944,0.5534847905720065,0.6243084562168477,0.7597350461661984
3,0.025617751038641796,0.35701499136219567,0.4069393474103488,0.6047437741757484,0.7635487755921316
4,0.015908025485606495,0.3062337340624294,0.32773294112568874,0.6243938458847955,0.7659574468085106
5,0.010084488658687532,0.2747749803697337,0.28242762432591095,0.6558053322308991,0.7695704536330791
6,0.007333272505873366,0.25335598264956655,0.2517697709173858,0.6913508948972207,0.7719791248494581
7,0.005959373104152919,0.2385512267969514,0.23290613022665801,0.7280226117231458,0.7745885186672019
8,0.004447017286798573,0.22978302187339403,0.22203375198500333,0.7593712164745343,0.7759935768767563
9,0.0037084437280386546,0.22409061249544454,0.21206840862541215,0.7868506568798124,0.7786029706945002
10,0.0031666356082243074,0.2200126729379967,0.2060326139581774,0.8082892438306352,0.7782015254917704
11,0.0026860097109851766,0.21704676722739524,0.20179418837489696,0.826651497973236,0.7802087515054195
12,0.0028930928983931857,0.21475255617286618,0.20003048033625984,0.8396112816441995,0.7800080289040546
13,0.0024897974200963607,0.2121452369525095,0.19376057365787913,0.8535316873239538,0.7796065837013247
14,0.002391834726697849,0.21177023733796885,0.19491498488033795,0.85683320978463,0.7802087515054195
15,0.0028407792290235643,0.2100929398909533,0.19460714426721018,0.8676792175331088,0.7808109193095143
16,0.0023057491011692455,0.21010615241316877,0.1929360234853129,0.8708592456666139,0.7800080289040546
17,0.0021736226927534788,0.2103143265418354,0.19579442277772968,0.8715982966826132,0.7808109193095143
18,0.0020970480773318018,0.2093378977539742,0.19275797019164576,0.8755578072617413,0.7806101967081494
19,0.0019286599045466224,0.20955281962413075,0.1941445402675269,0.8754568664157124,0.7812123645122441
20,0.0022609672217000962,0.20952241338553185,0.19300702986684717,0.8764911648320669,0.7824167001204335
21,0.001919819626120922,0.20877727414120478,0.19228453731175457,0.8787001456215403,0.7824167001204335
22,0.0019255624229830512,0.20813187852773776,0.19263947321311384,0.8816271663085032,0.7820152549177037
23,0.0022094027217478243,0.20717577469324666,0.19121563086533774,0.8826145416539034,0.7820152549177037
24,0.0020992904530304207,0.20630798381630266,0.18881606009180796,0.8882421226246798,0.7818145323163388
25,0.0019822409826031778,0.2070299359511393,0.19065691402982599,0.8871168920135882,0.7818145323163388
26,0.0020509191883429454,0.20676741758468806,0.18938523545910546,0.8882859753548575,0.7830188679245284
27,0.0020854774838370955,0.20550442095804852,0.1895128226205222,0.8929629827690255,0.7818145323163388
28,0.0019968994149050408,0.20565420316279856,0.18972825881350666,0.8909097840613105,0.7828181453231634
29,0.0019814601004348436,0.20397412514170052,0.1880067215560333,0.8980775348459619,0.7824167001204335
30,0.0017648258790168897,0.20404236818920704,0.18838475597974896,0.8964117575286322,0.7830188679245284
