iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.045751079211612325,0.3000000000000001,0.299194847020934,1.099793008026473
2,0.04016190065230883,0.3,0.29555745003315337,1.1208656216848194
3,0.03559096718095135,0.3000000000000001,0.29782135076252725,1.1761092337118892
4,0.030791525118428677,0.29998851085293815,0.30067253954721984,1.2673417362231583
5,0.023824791213249756,0.2995692205165546,0.2993558776167472,1.385114501128121
6,0.020886928249560482,0.29842869531367794,0.2993464052287582,1.541020438198964
7,0.015206789501191097,0.2970133419242654,0.2988917306052856,1.7091453439397117
8,0.011751894729983246,0.2941186077657964,0.29752770673486784,1.9087560252323357
9,0.00874066310152521,0.28973863305651,0.2934640522875817,2.1366645767084202
10,0.006289681365330148,0.2856298034783601,0.2887373306810647,2.3854876390828843
11,0.006087244152428245,0.28376581802184386,0.2867102396514161,2.739285639643289
12,0.005980518373513337,0.28198286910591885,0.28408638817845977,3.067020912525656
13,0.004744837650763039,0.28122866503200034,0.28281708818793216,3.3268825569451685
14,0.004499799862055234,0.27949779841914263,0.2800322061191627,3.6372361438130656
15,0.0031863433978480057,0.27898163670753784,0.2791702188121626,3.8286932890557823
16,0.0025956418169672635,0.2789895241678217,0.27926494269205265,3.9655166894795264
17,0.002171899628281442,0.2787821505025205,0.27898077105238234,4.1272604280967915
18,0.00237156303911511,0.27848551364481866,0.2784219001610306,4.2223330684364875
19,0.002004932116978078,0.27853292699095444,0.2784124277730416,4.290406283932549
20,0.0017434498441184366,0.2787032216188463,0.2786492374727669,4.396909368433653
21,0.0014687194643090555,0.2787948579145136,0.27870607180070095,4.5131087679660915
22,0.0014412493072036247,0.27929451999566396,0.2794354456758549,4.558256692681492
23,0.001320652878795304,0.2787325916115721,0.2785734583688548,4.624826267345601
24,0.0012874064088590586,0.2789834115132693,0.2788386852325471,4.675539914335338
25,0.0014620235575676854,0.2791495381056191,0.2790754949322724,4.654407424870391
26,0.0012539584058138366,0.2788216575214155,0.27863029269678885,4.716148534431906
27,0.001644990433884168,0.2792950218305643,0.2793501941839538,4.839539811533896
28,0.0013957692703508674,0.27806844338505815,0.27765463673392066,4.921460112363245
29,0.0013386849931421138,0.2782337190862812,0.27787250165766786,4.919932628658224
30,0.0016096329862580153,0.27786341656504715,0.27730415837832717,5.017017582916605
