split,model,n_patients,logloss_mean_prob,logloss_median_prob,logloss_q90_prob,logloss_q99_prob
test,Deterministic EM-MMIL,11,1.3447347261970541,3.561035719375624,1.105331029965486,0.37371721723776213
test,MCEM-MMIL,11,1.3528814586604283,3.768268202526002,1.1481438661117602,0.3763323810274171
test,Naive inherited-label classifier,11,0.53188310843364,0.5479436835011243,0.6355882136701229,0.9367986859119898
train,Deterministic EM-MMIL,33,1.2540343089974224,4.131802515724836,0.9090846983005071,0.4409463900685051
train,MCEM-MMIL,33,1.2544818906589124,4.354516799443689,0.9324768799475153,0.4382808119265971
train,Naive inherited-label classifier,33,0.5445175461017453,0.5461649994715511,0.6508935465275099,0.8891483312312009
