iter,delta,mean_q_advanced,train_logloss_inherited
1,0.04506264895087211,0.3000000000000001,1.098347906427267
2,0.04084735406363256,0.3000000000000001,1.1119028988924373
3,0.03561588940254668,0.3000000000000001,1.1701673127257741
4,0.03004442612305656,0.29997682926717517,1.2638167008568597
5,0.02466082840547796,0.299366499856321,1.3863086800548894
6,0.019968173196089314,0.2982723368848936,1.5347934214489045
7,0.015811890209545668,0.29672257929025764,1.7058639092866503
8,0.011636201022272535,0.29362917545105593,1.899732470430744
9,0.008230073519874672,0.28974683377063687,2.1219002794329667
10,0.006561013942685584,0.28629474460306154,2.3994526947661883
11,0.00636089347707733,0.28351087651697116,2.748925984410905
12,0.005569345095783382,0.2816320596843677,3.054247146075521
13,0.004646046385603542,0.2804986520129848,3.3390654865880647
14,0.003843591335273702,0.27977940515644883,3.59753803786288
15,0.003191746853632494,0.27932520913955283,3.8087224913337168
16,0.0027096320630673933,0.27906722056769534,3.974581599207996
17,0.002339533381130222,0.27894265053265643,4.107766198649047
18,0.0020610593609202373,0.27890450693855523,4.217472523394974
19,0.001849744146253582,0.2789157618737612,4.311457680124712
20,0.0016839711400232504,0.2789570034083307,4.393299875069034
21,0.00154972290862275,0.2790148795569716,4.465838274409958
22,0.0014403153273694269,0.27907486721887653,4.531029358570181
23,0.0013482324002318175,0.2791330381270732,4.590264621011649
24,0.0012683337916355268,0.2791820403797536,4.645101247747714
25,0.0011990555925593645,0.27921440722989876,4.695848759568268
26,0.001135312417116867,0.27922573465281114,4.743102331232015
27,0.001077995474043364,0.27921913466746323,4.7877534339685655
28,0.0010234831013896755,0.2791976108171886,4.829868502280745
29,0.0009710518067416792,0.27916463312288275,4.868924648843744
30,0.0009208403241044947,0.27912215288150966,4.905115090992335
