iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.03749134243097314,0.3000000000000001,0.299194847020934,1.0442170820944092
2,0.02851474890462212,0.3000000000000001,0.29622051719238424,1.0498886198823327
3,0.021967403655836566,0.3,0.2996400492564176,1.0613692541901305
4,0.018984790375785363,0.3000000000000001,0.2985886141896372,1.0869418444434626
5,0.0178842393266321,0.3000000000000001,0.2994884910485934,1.1113905606020171
6,0.016656446602053607,0.3,0.2994600738846263,1.1390275629669122
7,0.014269560776672335,0.3000000000000001,0.30060623283129684,1.1608134729480513
8,0.01423736199888312,0.3000000000000001,0.30125982760253855,1.1879359261934883
9,0.013941152694385337,0.2999986977430718,0.2998863313441319,1.2151666062649074
10,0.0144798636624795,0.2997762000135799,0.3012408828265606,1.2443254484230752
11,0.011696348363692292,0.29593632684606197,0.30052098133939564,1.2750090898774789
12,0.008689223689834618,0.2895227449312113,0.29589845600075787,1.3183056756938731
13,0.007183626929819757,0.28601818562618425,0.2885573553092735,1.3513377483659177
14,0.0070926865282420525,0.2843806359072176,0.2846357866818225,1.3892763728940913
15,0.006241101264071205,0.28388526877250325,0.28381168892677844,1.4021537854449952
16,0.005962584831932675,0.283795175280882,0.2842000568343279,1.4177391016406642
17,0.005275816031097631,0.2839526870319849,0.2844084493700862,1.4201071344997729
18,0.006297797164994776,0.2836521416189503,0.2840295538505257,1.4302879311036365
19,0.005427158358736604,0.28251188179824493,0.2816330396893057,1.4536617150231077
20,0.005554822048769956,0.28315387464327174,0.28248555460831676,1.468542344660809
21,0.005317970364061616,0.28302422991007536,0.28213507625272327,1.4817827406432995
22,0.005979197563522772,0.2833571375057202,0.2829686463957564,1.49850478306938
23,0.005578239507912953,0.2837108768842297,0.2832622904234158,1.5129731905785848
24,0.0053607040139922605,0.2844131383886691,0.28381168892677844,1.5211728316422028
25,0.005521191510265461,0.2847937795808075,0.2841811120583499,1.5395510151079217
26,0.004624595337261346,0.2856030940290532,0.2856019702567017,1.5401823483793688
27,0.005991186816632674,0.28508022606457617,0.284247418774273,1.559772589719324
28,0.0058938842544871625,0.2851909020196174,0.2848062896656247,1.5784370245843795
29,0.005710452309509817,0.28555198219350225,0.2849104859335038,1.5985793336704412
30,0.006134483902510222,0.28563079590384277,0.2847968172776357,1.610531009055149
