split,model,aggregation,n_patients,n_early,n_advanced,auroc
test,Deterministic EM-MMIL,median_prob,11,5,6,1.0
test,Deterministic EM-MMIL,mean_prob,11,5,6,0.8666666666666667
test,Deterministic EM-MMIL,prop_gt_0.5,11,5,6,0.8666666666666667
test,Deterministic EM-MMIL,q90_prob,11,5,6,0.8333333333333333
test,Deterministic EM-MMIL,q99_prob,11,5,6,0.8
test,Deterministic EM-MMIL,prop_gt_0.9,11,5,6,0.6499999999999999
test,MCEM-MMIL,median_prob,11,5,6,1.0
test,MCEM-MMIL,mean_prob,11,5,6,0.9333333333333333
test,MCEM-MMIL,q90_prob,11,5,6,0.8666666666666667
test,MCEM-MMIL,q99_prob,11,5,6,0.8
test,MCEM-MMIL,prop_gt_0.5,11,5,6,0.7666666666666666
test,MCEM-MMIL,prop_gt_0.9,11,5,6,0.5666666666666667
test,Naive inherited-label classifier,mean_prob,11,5,6,1.0
test,Naive inherited-label classifier,median_prob,11,5,6,1.0
test,Naive inherited-label classifier,prop_gt_0.5,11,5,6,1.0
test,Naive inherited-label classifier,prop_gt_0.9,11,5,6,1.0
test,Naive inherited-label classifier,q90_prob,11,5,6,1.0
test,Naive inherited-label classifier,q99_prob,11,5,6,1.0
train,Deterministic EM-MMIL,median_prob,33,15,18,0.9407407407407408
train,Deterministic EM-MMIL,q90_prob,33,15,18,0.9407407407407408
train,Deterministic EM-MMIL,mean_prob,33,15,18,0.9296296296296297
train,Deterministic EM-MMIL,prop_gt_0.5,33,15,18,0.8981481481481481
train,Deterministic EM-MMIL,q99_prob,33,15,18,0.8888888888888888
train,Deterministic EM-MMIL,prop_gt_0.9,33,15,18,0.8444444444444444
train,MCEM-MMIL,mean_prob,33,15,18,0.9555555555555555
train,MCEM-MMIL,median_prob,33,15,18,0.9500000000000001
train,MCEM-MMIL,q90_prob,33,15,18,0.9333333333333333
train,MCEM-MMIL,q99_prob,33,15,18,0.9296296296296297
train,MCEM-MMIL,prop_gt_0.5,33,15,18,0.9092592592592592
train,MCEM-MMIL,prop_gt_0.9,33,15,18,0.8055555555555556
train,Naive inherited-label classifier,mean_prob,33,15,18,0.9925925925925926
train,Naive inherited-label classifier,median_prob,33,15,18,0.9925925925925926
train,Naive inherited-label classifier,prop_gt_0.5,33,15,18,0.9925925925925926
train,Naive inherited-label classifier,q99_prob,33,15,18,0.9925925925925926
train,Naive inherited-label classifier,q90_prob,33,15,18,0.9888888888888889
train,Naive inherited-label classifier,prop_gt_0.9,33,15,18,0.961111111111111
