iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09476940812685834,0.5819537079117839,0.7282503183553326,0.7926535527900441
2,0.04281113091437621,0.45369848279086133,0.6127840619648441,0.7806101967081494
3,0.020500251103066126,0.3918320312119181,0.5907041751644767,0.7800080289040546
4,0.011123300110424618,0.35997856955204083,0.5945535264443504,0.7769971898835809
5,0.006990220078735046,0.3418247090182363,0.6034726115155283,0.776595744680851
6,0.004529736081964934,0.33042617485325537,0.6110287886023231,0.7757928542753915
7,0.0034179381619741218,0.32343468765870753,0.61765248198791,0.7755921316740265
8,0.00275908168467963,0.3186464642532493,0.622412476805041,0.776595744680851
9,0.002450659328587163,0.3153716200545181,0.6260885428941214,0.7761942994781212
10,0.0020061692076735497,0.3137402417240386,0.6292717660063621,0.7757928542753915
11,0.0019023671457906264,0.31174203638322473,0.6312318395596653,0.7761942994781212
12,0.001760433267263048,0.3103537992676009,0.6333122493813799,0.7761942994781212
13,0.0017517443400767425,0.30957600841706767,0.6346869670298341,0.7751906864712966
14,0.0017353308926693384,0.3086812869070503,0.6351451962989442,0.7759935768767563
15,0.001609747650610255,0.3083197233859143,0.6363109096831774,0.7753914090726616
16,0.001559855800829939,0.30839845098203905,0.6374381902399089,0.7745885186672019
17,0.001706437182533696,0.30771090657817457,0.6377860984160032,0.7763950220794862
18,0.0015473919496453632,0.30710699808212044,0.6380190323425925,0.776796467282216
19,0.001534526242534581,0.3067347448558442,0.6389283518733261,0.7749899638699318
20,0.0014933277430925446,0.3065002986475256,0.6396507928199894,0.7759935768767563
21,0.0015716021424907922,0.3062835444374629,0.639462596297655,0.7751906864712966
22,0.0013855010300166072,0.30602221869858426,0.6399755976781658,0.7773986350863107
23,0.0016827217072196787,0.30618956794003066,0.6401813690994761,0.7769971898835809
24,0.0017130244919688158,0.30562277139180777,0.6405022289991658,0.7771979124849459
25,0.0015661657608703346,0.3055540100307767,0.6403374526906124,0.776595744680851
26,0.0013357565286262617,0.30516319666049485,0.6403919906049884,0.7761942994781212
27,0.0013954607299004598,0.3051107941312622,0.6409650799191982,0.7759935768767563
28,0.0013646585625733893,0.30507557369305405,0.6410982141909086,0.776595744680851
29,0.0013662452691253443,0.304768039603401,0.64110394396151,0.7759935768767563
30,0.0013243706822873367,0.3050202804753219,0.6412889412540321,0.7757928542753915
