iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.04012947678403858,0.3000000000000001,0.299194847020934,1.0142079939037334
2,0.028610137969838318,0.3000000000000001,0.2962299895803732,1.0185158844804314
3,0.023397003467521032,0.3000000000000001,0.3005020365634177,1.0285281998987816
4,0.021690789772919238,0.3000000000000001,0.30049256417542863,1.0520495508304066
5,0.01958275625679768,0.3,0.29942218433267026,1.0837284335833246
6,0.018760653132504374,0.3000000000000001,0.2992990432888131,1.1168168915525225
7,0.017510811247130668,0.3000000000000001,0.3007293738751539,1.1457888898817363
8,0.016908609010664575,0.3000000000000001,0.3005304537273847,1.1787191255403782
9,0.016384866087518764,0.3,0.2994506014966373,1.2198640395466718
10,0.015931058765216704,0.3,0.29974424552429674,1.2608755593503453
11,0.014315803732767864,0.29968912702704625,0.30055887089135175,1.2969899412179025
12,0.013149589701792915,0.2986997770380141,0.30033153357961545,1.3480715000529102
13,0.011747719098318591,0.29759196124245746,0.299223264184901,1.3873208552737952
14,0.01200391278791812,0.295472155689695,0.29626787913232927,1.4441826637485398
15,0.010127586366838089,0.29322032348741817,0.29474282466609836,1.4957178026721967
16,0.008235853516480764,0.2905159393387595,0.292109500805153,1.56146075891285
17,0.007053334130717166,0.28770028159442324,0.28948564933219667,1.6099964983582113
18,0.006484855545747948,0.28663274140114514,0.28790376053803163,1.6505330011258037
19,0.006071037343203797,0.2862598091411817,0.2870417732310315,1.6981861318727494
20,0.005094143562924996,0.2855330024941534,0.28621767547598753,1.7275939112446748
21,0.005362838052000255,0.28452066235856227,0.28484417921758076,1.7632849957974115
22,0.004609776955880342,0.28418431509434366,0.28398219191058066,1.7981555360500092
23,0.004252749691966087,0.28432428220025785,0.28437055981813014,1.8047666768903898
24,0.004498263118267635,0.2837437620207469,0.2843326702661741,1.8195404679182836
25,0.004010868313734947,0.2842814592980108,0.28523254712513024,1.8340316333002868
26,0.004441048969828597,0.28388952097282766,0.28438950459410817,1.8340722612803875
27,0.004222255597912804,0.2834447242687334,0.2831865113195036,1.869849261991134
28,0.004601412080976435,0.28360353255264614,0.2836885478829213,1.8873616127956294
29,0.004146905189051694,0.28370654480356017,0.2836980202709103,1.9047994702909046
30,0.003819550558669078,0.28340318648001506,0.2831391493795586,1.9081042816697495
