iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.0810453286004813,0.6308509904164395,0.8060698370101177,0.7155760738659173
2,0.03858708440688899,0.5272795472473488,0.7184441765429254,0.7051384985949418
3,0.019920443797684116,0.4741184044041898,0.7057373235569335,0.7005218787635488
4,0.011981287276758618,0.4420103685768029,0.7137383897786264,0.7033319951826575
5,0.007555023444693583,0.421845388439592,0.7271094699753294,0.7013247691690084
6,0.005287336012141707,0.4090511645536371,0.7401724443759561,0.7015254917703734
7,0.003880800327145328,0.4003477801117446,0.7507176737000277,0.7029305499799278
8,0.0029802193558971027,0.39450311841653396,0.7589574187974443,0.7033319951826575
9,0.002663347036314754,0.3898515661489498,0.765855408524035,0.7027298273785628
10,0.0025643799272843,0.3859295154448735,0.7708904592153695,0.7017262143717382
11,0.0024073975423953933,0.38287493817992063,0.7754630690156867,0.7039341629867523
12,0.0022230765136407723,0.38098428706350757,0.7792218202059135,0.7021276595744681
13,0.002185678581636405,0.37936123632394075,0.7823632518827325,0.7025291047771979
14,0.002037222410701959,0.3780142504351146,0.7850284877293902,0.7027298273785628
15,0.00197856719078349,0.3769995169330182,0.7879529892112138,0.7019269369731032
16,0.0018048574785197473,0.37596207101873463,0.7893405458823206,0.7033319951826575
17,0.0019591083256861176,0.37477737790491816,0.7911318825556698,0.7025291047771979
18,0.0018266339721439231,0.37439496976659603,0.7929626501983547,0.7029305499799278
19,0.0016357197204481405,0.3739049815149328,0.7943042593194243,0.7039341629867523
20,0.0016604697830334522,0.37302607636018653,0.7946567578531282,0.7035327177840225
21,0.0014546902100430429,0.3725818138876273,0.7958412357823915,0.7037334403853874
22,0.0016635927561071996,0.372707041951062,0.7969028736653008,0.7015254917703734
23,0.0015201785396561818,0.37243051529736937,0.797708637579755,0.7047370533922119
24,0.0015638535521253411,0.37180080644468855,0.797641477408412,0.7043356081894822
25,0.0016999605919113376,0.3714499340297497,0.7986237633622912,0.7017262143717382
26,0.0018784064757239494,0.3714684554393647,0.7986535168694561,0.7039341629867523
27,0.001579218580404544,0.3715913610117843,0.7992942922511378,0.7045363307908471
28,0.00177053960183615,0.37139647352332733,0.7997240996664797,0.7049377759935769
29,0.0016080922587580202,0.371530623640228,0.7998653974030682,0.7037334403853874
30,0.001436738822248458,0.37126856442954986,0.8004745754950615,0.7027298273785628
