split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.0523703485609271,0.11097068973897152
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.4319790021454226,0.5650832261250891
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.2765796437540027,0.3366196356236945
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.06912033618386196,0.1801654089546186
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.035334062489384,0.035334062489384
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,0.0319619445831071,0.06368324757057263
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.024062613485629887,0.02177259118150496
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.02212769888882753,0.03910922847787525
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.013748294309238568,0.01505315276901184
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.012539585772354233,0.01889309739734251
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9235670379534429,0.9703211419200884
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.855355753788027,0.9490818237480306
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.6880310956967676,0.8106847704752398
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.5959807287350981,0.6551451444099472
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.5883907785339426,0.5883907785339426
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.5717818386492992,0.6791531697969924
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.5525503814982268,0.6981819136770421
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.5372414748487042,0.6829253023452095
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.4690708207430905,0.6515241210045205
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.4929441780067113,0.6232066993077718
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.4862340571188444,0.8326976158789257
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.41552293634944026,0.6465680105147021
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.3857695109235786,0.4541866491582406
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.34928994396146307,0.46189734708484714
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.2962157352360342,0.4823362292599848
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.21323584505114085,0.4130702797745391
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.18083667237628812,0.2426266706381242
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.06020088098092016,0.17856547864428943
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.5017614548952536,0.712617402617763
