iter,delta,mean_q_advanced,train_logloss_inherited
1,0.04558609480751008,0.3000000000000001,1.1035970706940204
2,0.041814026528325464,0.3,1.113479675137049
3,0.03658453332614162,0.29992059879561267,1.16410208027144
4,0.030682861320661836,0.2988715442362943,1.25484265060416
5,0.024842850125208257,0.2968728116638653,1.3876044677429302
6,0.019250011572385428,0.29481819766280104,1.5480175910588876
7,0.014583758021797543,0.29285324741114244,1.714483451461122
8,0.011062464835393417,0.29095281235082654,1.882408144589682
9,0.008517893037853944,0.28912543535803437,2.0496546053595677
10,0.0068351495728497524,0.28756991213880095,2.216185700031713
11,0.006064012816052614,0.2864118679033561,2.405769549536546
12,0.006202286552312527,0.285625273448866,2.6018110825541565
13,0.005324355146859526,0.2850894498529996,2.763184877115276
14,0.0045262426851366356,0.2846879102185516,2.910061146714513
15,0.003828035617055561,0.28435515396586186,3.043771420256375
16,0.00323600722218618,0.28409495418538877,3.165066977606392
17,0.002763101182088808,0.28390474311750385,3.2727178215159753
18,0.002392967554195156,0.283751089626379,3.367741002132744
19,0.0021099638328659436,0.28362746826542096,3.451249358839585
20,0.0019007694786612056,0.2835239357051123,3.5243264928528815
21,0.0017410446017566115,0.283430808507127,3.58900077813929
22,0.0016098744967039933,0.28334711391381057,3.6466192645458966
23,0.0015072372900038842,0.2832758196313773,3.698373980493154
24,0.001431714401015223,0.28321468242504655,3.7455564498211658
25,0.0013623011644866882,0.28315292042913753,3.7890822510767186
26,0.0012937339170707113,0.2830732175529436,3.828686958219517
27,0.0012317830548995155,0.28298066048490816,3.864143641094624
28,0.0011819531628722974,0.2828715364074434,3.896109242117127
29,0.0011486060098760812,0.2827515382584622,3.9250662804799568
30,0.0011280323461311866,0.28262269624716135,3.951792509404079
